Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZWS,38.0,50.0,29.0,45.0
ZVRA,23.0,29.0,18.0,8.0
ZVIA,4.0,6.0,2.0,2.0
ZURA,14.0,26.0,2.0,2.0
ZUMZ,18.0,18.0,18.0,21.0
ZTO,22.0,24.0,21.0,18.0
ZS,307.0,385.0,207.0,274.0
ZNTL,8.0,20.0,2.0,1.0
ZM,90.0,115.0,69.0,83.0
ZLAB,56.0,75.0,36.0,30.0
ZKH,4.0,4.0,4.0,2.0
ZION,60.0,71.0,52.0,56.0
ZIMV,17.0,23.0,10.0,18.0
ZIM,14.0,20.0,9.0,13.0
ZH,4.0,4.0,4.0,4.0
ZGN,8.0,10.0,7.0,8.0
ZG,85.0,95.0,66.0,84.0
ZEUS,38.0,38.0,38.0,33.0
ZETA,30.0,45.0,18.0,18.0
ZEPP,60.0,60.0,60.0,49.0
ZENA,9.0,9.0,9.0,4.0
ZD,46.0,95.0,33.0,38.0
ZBRA,357.0,425.0,300.0,313.0
ZBIO,36.0,45.0,30.0,20.0
ZBH,111.0,135.0,95.0,105.0
Z,88.0,100.0,75.0,87.0
YUMC,60.0,60.0,60.0,44.0
YUM,161.0,200.0,140.0,144.0
YPF,46.0,59.0,33.0,30.0
YOU,33.0,45.0,25.0,34.0
YMM,15.0,18.0,10.0,13.0
YMAB,9.0,17.0,3.0,8.0
YEXT,9.0,10.0,8.0,8.0
YETI,38.0,55.0,29.0,36.0
YELP,34.0,38.0,30.0,31.0
XYZ,80.0,100.0,50.0,74.0
XYL,152.0,175.0,130.0,140.0
XRX,6.0,8.0,4.0,3.0
XRAY,18.0,24.0,14.0,14.0
XPRO,12.0,15.0,11.0,12.0
XPOF,12.0,17.0,9.0,8.0
XPO,138.0,167.0,84.0,130.0
XPEV,23.0,31.0,16.0,19.0
XOM,125.0,145.0,105.0,109.0
XNCR,22.0,34.0,6.0,8.0
XMTR,40.0,50.0,30.0,49.0
XHR,13.0,16.0,9.0,14.0
XGN,11.0,12.0,10.0,9.0
XERS,7.0,10.0,4.0,7.0
XENE,53.0,67.0,43.0,39.0
XEL,76.0,80.0,73.0,72.0
WYNN,123.0,147.0,100.0,120.0
WYFI,29.0,34.0,25.0,16.0
WY,32.0,38.0,29.0,26.0
WWW,27.0,36.0,20.0,31.0
WWD,253.0,299.0,160.0,242.0
WW,0.0,0.0,0.0,30.0
WVE,20.0,36.0,10.0,8.0
WULF,11.0,15.0,4.0,9.0
WU,8.0,10.0,7.0,8.0
WTW,362.0,400.0,305.0,329.0
WTTR,15.0,16.0,14.0,8.0
WTS,245.0,300.0,217.0,280.0
WTRG,44.0,47.0,41.0,39.0
WTBA,20.0,20.0,20.0,20.0
WT,13.0,16.0,10.0,13.0
WST,320.0,400.0,245.0,250.0
WSR,15.0,16.0,14.0,13.0
WSO,484.0,540.0,450.0,408.0
WSM,199.0,230.0,166.0,202.0
WSFS,66.0,70.0,64.0,58.0
WSC,36.0,40.0,32.0,23.0
WSBC,38.0,45.0,34.0,32.0
WS,34.0,34.0,34.0,32.0
WRN,4.0,4.0,4.0,1.0
WRLD,10.0,10.0,10.0,173.0
WRD,12.0,12.0,12.0,9.0
WRBY,24.0,30.0,18.0,26.0
WPM,97.0,129.0,75.0,104.0
WPC,66.0,68.0,64.0,68.0
WOR,59.0,81.0,46.0,65.0
WOOF,3.0,4.0,2.0,3.0
WOLF,9.0,20.0,3.0,1.0
WNS,68.0,76.0,53.0,75.0
WNEB,11.0,11.0,11.0,12.0
WNC,9.0,9.0,9.0,11.0
WMT,110.0,127.0,91.0,100.0
WMS,152.0,167.0,133.0,148.0
WMG,33.0,44.0,30.0,32.0
WM,254.0,277.0,229.0,220.0
WLK,92.0,100.0,73.0,89.0
WKC,29.0,33.0,26.0,26.0
WK,99.0,108.0,85.0,79.0
WIX,215.0,255.0,166.0,153.0
WHR,98.0,145.0,63.0,94.0
WHF,10.0,12.0,9.0,8.0
WHD,50.0,53.0,48.0,42.0
WH,106.0,116.0,99.0,86.0
WGS,101.0,120.0,80.0,132.0
WGO,42.0,75.0,30.0,36.0
WFC,82.0,91.0,65.0,78.0
WEST,10.0,13.0,10.0,5.0
WERN,30.0,52.0,24.0,28.0
WEN,12.0,17.0,11.0,10.0
WELL,175.0,242.0,147.0,167.0
WEC,106.0,124.0,98.0,107.0
WEAV,15.0,18.0,13.0,7.0
WDFC,290.0,300.0,280.0,218.0
WDC,79.0,99.0,53.0,92.0
WDAY,286.0,345.0,220.0,231.0
WD,92.0,95.0,90.0,87.0
WCN,215.0,230.0,204.0,179.0
WCC,232.0,258.0,200.0,219.0
WBTN,14.0,23.0,9.0,14.0
WBS,66.0,77.0,58.0,62.0
WBD,13.0,18.0,9.0,12.0
WB,14.0,14.0,14.0,11.0
WAY,44.0,52.0,34.0,37.0
WAT,378.0,465.0,315.0,306.0
WASH,29.0,31.0,28.0,29.0
WALD,4.0,7.0,3.0,1.0
WAL,97.0,115.0,85.0,90.0
WAFD,32.0,33.0,31.0,31.0
WABC,52.0,54.0,50.0,49.0
WAB,222.0,240.0,200.0,193.0
W,69.0,96.0,25.0,89.0
VZLA,3.0,3.0,3.0,3.0
VZ,47.0,56.0,40.0,44.0
VYX,14.0,17.0,11.0,13.0
VYGR,13.0,30.0,5.0,4.0
VVV,42.0,48.0,38.0,39.0
VTYX,7.0,9.0,6.0,2.0
VTS,26.0,33.0,19.0,25.0
VTRS,10.0,13.0,9.0,10.0
VTR,74.0,78.0,65.0,67.0
VTMX,31.0,38.0,21.0,28.0
VTLE,28.0,47.0,16.0,16.0
VTEX,7.0,10.0,6.0,4.0
VSTS,9.0,13.0,5.0,4.0
VSTM,13.0,20.0,8.0,10.0
VSH,19.0,19.0,19.0,15.0
VSEC,145.0,180.0,110.0,166.0
VSCO,25.0,45.0,17.0,26.0
VSAT,21.0,52.0,10.0,29.0
VRTX,497.0,575.0,405.0,396.0
VRTS,188.0,234.0,158.0,194.0
VRT,142.0,173.0,75.0,124.0
VRSN,277.0,305.0,250.0,280.0
VRRM,27.0,30.0,23.0,24.0
VRNT,26.0,34.0,20.0,20.0
VRNS,61.0,80.0,45.0,56.0
VREX,19.0,23.0,16.0,11.0
VRE,19.0,23.0,16.0,16.0
VRDN,37.0,61.0,26.0,18.0
VPG,28.0,28.0,28.0,29.0
VOYG,47.0,52.0,41.0,29.0
VOYA,83.0,90.0,71.0,76.0
VOD,136.0,136.0,136.0,11.0
VNT,47.0,50.0,45.0,43.0
VNOM,55.0,72.0,46.0,37.0
VNO,37.0,44.0,28.0,41.0
VNET,9.0,20.0,5.0,7.0
VNDA,16.0,20.0,13.0,4.0
VMI,391.0,400.0,382.0,377.0
VMEO,7.0,9.0,5.0,4.0
VMC,308.0,330.0,279.0,294.0
VLY,10.0,12.0,10.0,10.0
VLTO,113.0,125.0,100.0,105.0
VLRS,7.0,12.0,4.0,6.0
VLO,156.0,179.0,135.0,156.0
VLN,4.0,4.0,4.0,1.0
VKTX,86.0,138.0,30.0,26.0
VIV,12.0,13.0,12.0,12.0
VITL,49.0,60.0,39.0,51.0
VIST,65.0,72.0,57.0,38.0
VIRC,17.0,17.0,17.0,8.0
VIPS,18.0,19.0,17.0,17.0
VINP,13.0,14.0,13.0,10.0
VIK,58.0,75.0,44.0,62.0
VICR,43.0,43.0,43.0,51.0
VIAV,13.0,16.0,11.0,11.0
VHI,12.0,12.0,12.0,16.0
VGZ,3.0,3.0,3.0,1.0
VG,17.0,20.0,11.0,12.0
VFS,5.0,6.0,5.0,3.0
VFC,16.0,27.0,10.0,14.0
VERX,43.0,55.0,30.0,24.0
VERI,5.0,6.0,2.0,2.0
VERA,63.0,100.0,26.0,24.0
VEON,60.0,60.0,60.0,55.0
VENU,15.0,15.0,15.0,11.0
VEL,21.0,23.0,20.0,19.0
VEEV,299.0,355.0,200.0,273.0
VECO,27.0,35.0,20.0,24.0
VCTR,73.0,87.0,62.0,71.0
VCEL,60.0,67.0,51.0,34.0
VBTX,33.0,39.0,28.0,34.0
VALN,15.0,18.0,14.0,8.0
VALE,11.0,13.0,10.0,10.0
VAL,47.0,54.0,39.0,51.0
