Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZVRA,22.0,25.0,18.0,9.0
ZVIA,3.0,3.0,3.0,2.0
ZUMZ,25.0,25.0,25.0,11.0
ZTS,212.0,244.0,165.0,164.0
ZTO,21.0,22.0,19.0,17.0
ZSPC,15.0,20.0,10.0,4.0
ZS,286.0,360.0,207.0,299.0
ZNTL,8.0,20.0,2.0,1.0
ZM,87.0,115.0,71.0,80.0
ZLAB,47.0,55.0,36.0,37.0
ZKH,4.0,4.0,4.0,3.0
ZK,32.0,38.0,26.0,26.0
ZION,57.0,71.0,40.0,49.0
ZIM,14.0,20.0,9.0,17.0
ZH,4.0,4.0,4.0,4.0
ZGN,8.0,10.0,7.0,8.0
ZG,81.0,95.0,60.0,69.0
ZEUS,41.0,41.0,41.0,31.0
ZETA,30.0,45.0,15.0,13.0
ZD,47.0,95.0,33.0,33.0
ZBIO,36.0,45.0,30.0,11.0
ZBH,111.0,135.0,95.0,92.0
Z,83.0,100.0,71.0,70.0
YUMC,48.0,60.0,37.0,44.0
YUM,157.0,185.0,135.0,143.0
YSG,3.0,3.0,3.0,7.0
YPF,41.0,59.0,25.0,33.0
YOU,32.0,45.0,26.0,26.0
YMM,15.0,18.0,10.0,12.0
YMAB,15.0,26.0,3.0,5.0
YEXT,9.0,10.0,8.0,8.0
YETI,39.0,55.0,29.0,32.0
XYL,143.0,165.0,125.0,127.0
XTNT,1.0,1.0,1.0,0.0
XRX,9.0,11.0,8.0,5.0
XRAY,20.0,28.0,14.0,16.0
XPOF,13.0,19.0,9.0,9.0
XPO,134.0,167.0,113.0,119.0
XPEV,22.0,31.0,12.0,20.0
XPER,19.0,30.0,12.0,7.0
XPEL,58.0,58.0,58.0,37.0
XOMA,69.0,104.0,35.0,25.0
XOM,125.0,144.0,105.0,104.0
XNCR,29.0,40.0,6.0,9.0
XMTR,35.0,48.0,21.0,36.0
XIFR,17.0,30.0,9.0,8.0
XHR,13.0,17.0,9.0,12.0
XGN,7.0,8.0,7.0,7.0
XERS,6.0,8.0,4.0,4.0
XENE,54.0,67.0,47.0,31.0
XEL,75.0,80.0,68.0,68.0
X,43.0,55.0,35.0,53.0
WYNN,113.0,122.0,99.0,84.0
WY,33.0,38.0,30.0,27.0
WWW,19.0,22.0,17.0,18.0
WVE,21.0,36.0,10.0,7.0
WULF,7.0,11.0,4.0,4.0
WU,10.0,13.0,7.0,9.0
WTW,356.0,400.0,272.0,301.0
WTTR,14.0,16.0,14.0,8.0
WTS,222.0,240.0,199.0,245.0
WTRG,43.0,46.0,41.0,37.0
WTFC,135.0,157.0,115.0,122.0
WST,332.0,400.0,250.0,223.0
WSR,15.0,16.0,14.0,12.0
WSO,486.0,540.0,455.0,444.0
WSM,177.0,215.0,134.0,156.0
WSFS,62.0,68.0,55.0,53.0
WSC,40.0,54.0,32.0,28.0
WSBC,38.0,45.0,34.0,31.0
WS,34.0,34.0,34.0,26.0
WRN,4.0,4.0,4.0,1.0
WRLD,10.0,10.0,10.0,157.0
WRBY,22.0,32.0,18.0,22.0
WRB,70.0,80.0,60.0,72.0
WPC,104.0,420.0,61.0,63.0
WOW,6.0,6.0,6.0,4.0
WOR,52.0,67.0,44.0,60.0
WOOF,3.0,4.0,2.0,2.0
WOLF,11.0,20.0,3.0,1.0
WNS,62.0,75.0,51.0,59.0
WNEB,8.0,8.0,8.0,9.0
WNC,14.0,14.0,14.0,9.0
WMT,105.0,120.0,81.0,97.0
WMS,139.0,160.0,133.0,116.0
WMG,33.0,44.0,23.0,26.0
WMB,61.0,70.0,55.0,59.0
WM,248.0,277.0,220.0,233.0
WLDN,51.0,56.0,47.0,57.0
WKC,29.0,32.0,26.0,28.0
WK,106.0,130.0,95.0,69.0
WIX,226.0,300.0,173.0,153.0
WING,348.0,440.0,255.0,376.0
WINA,445.0,445.0,445.0,416.0
WHR,105.0,138.0,76.0,84.0
WHF,10.0,12.0,9.0,9.0
WH,108.0,119.0,94.0,82.0
WGS,86.0,118.0,45.0,72.0
WGO,51.0,75.0,37.0,33.0
WFRD,96.0,142.0,62.0,49.0
WFG,100.0,115.0,90.0,75.0
WEX,176.0,255.0,135.0,138.0
WEST,10.0,13.0,9.0,6.0
WES,39.0,44.0,37.0,37.0
WERN,30.0,52.0,21.0,27.0
WEN,16.0,29.0,13.0,11.0
WEC,107.0,124.0,98.0,104.0
WEAV,16.0,18.0,14.0,9.0
WDFC,301.0,322.0,280.0,243.0
WDC,63.0,90.0,40.0,57.0
WDAY,293.0,345.0,190.0,252.0
WD,102.0,110.0,95.0,69.0
WCN,212.0,230.0,195.0,188.0
WCC,212.0,245.0,180.0,176.0
WBS,63.0,76.0,58.0,53.0
WBD,12.0,18.0,8.0,9.0
WBA,10.0,15.0,7.0,11.0
WB,9.0,12.0,7.0,9.0
WAY,40.0,52.0,27.0,40.0
WAT,390.0,460.0,325.0,348.0
WASH,31.0,34.0,28.0,27.0
WAL,97.0,116.0,80.0,73.0
WAFD,30.0,32.0,29.0,29.0
WABC,52.0,55.0,50.0,48.0
WAB,211.0,226.0,194.0,205.0
W,43.0,60.0,25.0,47.0
VZLA,3.0,4.0,3.0,3.0
VZ,47.0,56.0,40.0,43.0
VYX,14.0,17.0,11.0,11.0
VYGR,13.0,30.0,5.0,3.0
VVX,63.0,80.0,51.0,45.0
VVV,42.0,49.0,38.0,36.0
VUZI,2.0,2.0,2.0,3.0
VTYX,10.0,14.0,6.0,2.0
VTS,26.0,33.0,19.0,23.0
VTRS,10.0,13.0,9.0,8.0
VTR,73.0,78.0,65.0,62.0
VTOL,50.0,50.0,50.0,31.0
VTLE,30.0,50.0,16.0,17.0
VTEX,8.0,11.0,6.0,6.0
VSTM,13.0,20.0,8.0,6.0
VSTA,3.0,3.0,3.0,4.0
VST,169.0,231.0,120.0,169.0
VSH,20.0,22.0,19.0,15.0
VSEC,125.0,150.0,100.0,133.0
VSCO,26.0,45.0,15.0,22.0
VSAT,18.0,52.0,10.0,10.0
VRTS,167.0,211.0,150.0,175.0
VRT,122.0,155.0,75.0,112.0
VRSN,267.0,285.0,250.0,279.0
VRSK,302.0,335.0,279.0,313.0
VRRM,27.0,29.0,23.0,24.0
VRNT,30.0,36.0,23.0,19.0
VRNA,82.0,107.0,57.0,84.0
VREX,22.0,23.0,22.0,8.0
VRE,18.0,23.0,16.0,15.0
VRDN,36.0,61.0,27.0,14.0
VPG,28.0,28.0,28.0,27.0
VOYA,81.0,91.0,70.0,68.0
VNT,44.0,48.0,36.0,36.0
VNOM,56.0,72.0,47.0,41.0
VNO,37.0,48.0,28.0,41.0
VNET,9.0,20.0,5.0,6.0
VNDA,16.0,20.0,13.0,4.0
VMI,362.0,380.0,345.0,324.0
VMEO,7.0,9.0,5.0,4.0
VMC,302.0,320.0,285.0,266.0
VLY,10.0,12.0,8.0,8.0
VLTO,110.0,125.0,100.0,99.0
VLRS,7.0,12.0,4.0,4.0
VLO,151.0,177.0,118.0,128.0
VLN,4.0,4.0,4.0,2.0
VKTX,87.0,138.0,30.0,27.0
VIV,17.0,23.0,10.0,10.0
VITL,44.0,52.0,39.0,31.0
VIST,65.0,72.0,57.0,49.0
VIRT,37.0,43.0,28.0,41.0
VIRC,17.0,17.0,17.0,8.0
VIPS,15.0,19.0,12.0,15.0
VINP,13.0,13.0,13.0,9.0
VIK,49.0,61.0,36.0,48.0
VIGL,10.0,22.0,8.0,7.0
VICR,43.0,43.0,43.0,45.0
VICI,35.0,38.0,33.0,32.0
VIAV,12.0,16.0,8.0,9.0
VGZ,2.0,2.0,2.0,1.0
VG,15.0,20.0,11.0,15.0
VFC,16.0,27.0,12.0,13.0
VERX,50.0,61.0,31.0,40.0
VERA,65.0,100.0,26.0,22.0
VEON,60.0,60.0,60.0,48.0
VEL,21.0,23.0,20.0,17.0
VEEV,269.0,329.0,192.0,282.0
VECO,30.0,47.0,20.0,21.0
VCYT,40.0,50.0,28.0,27.0
VCTR,71.0,87.0,62.0,63.0
VCEL,61.0,67.0,51.0,43.0
VC,96.0,126.0,74.0,84.0
VBTX,30.0,32.0,28.0,25.0
VBNK,13.0,22.0,10.0,11.0
VALN,15.0,17.0,14.0,6.0
VALE,12.0,15.0,9.0,9.0
VAL,49.0,90.0,34.0,43.0
VAC,92.0,140.0,55.0,66.0
V,372.0,425.0,319.0,366.0
UWMC,6.0,10.0,4.0,4.0
UUUU,7.0,10.0,5.0,5.0
UTZ,17.0,22.0,13.0,14.0
UTHR,393.0,600.0,302.0,328.0
USPH,109.0,115.0,98.0,78.0
USNA,36.0,36.0,36.0,29.0
USGO,26.0,26.0,26.0,9.0
USFD,76.0,95.0,12.0,76.0
USB,50.0,60.0,42.0,44.0
USAU,12.0,15.0,10.0,13.0
USAS,1.0,1.0,1.0,0.0
USAR,15.0,15.0,15.0,13.0
USAC,26.0,27.0,24.0,25.0
UROY,4.0,4.0,3.0,2.0
URI,753.0,921.0,565.0,707.0
URGN,23.0,55.0,3.0,7.0
URG,2.0,2.0,2.0,0.0
URBN,71.0,80.0,54.0,69.0
UPWK,18.0,24.0,15.0,15.0
UPST,67.0,108.0,16.0,57.0
UPS,120.0,147.0,82.0,99.0
UPBD,34.0,38.0,30.0,25.0
UPB,56.0,75.0,38.0,11.0
UNTY,52.0,55.0,50.0,43.0
UNP,257.0,295.0,200.0,224.0
UNM,88.0,108.0,63.0,80.0
UNIT,5.0,8.0,4.0,4.0
UNH,428.0,700.0,270.0,303.0
UNFI,27.0,33.0,21.0,25.0
UNF,180.0,197.0,152.0,189.0
UMH,21.0,22.0,20.0,17.0
UMC,7.0,7.0,7.0,7.0
UMBF,123.0,146.0,105.0,105.0
UMAC,14.0,20.0,4.0,9.0
ULTA,460.0,550.0,330.0,468.0
ULS,69.0,77.0,58.0,70.0
ULH,29.0,29.0,29.0,24.0
ULCC,6.0,10.0,3.0,3.0
ULBI,14.0,14.0,14.0,7.0
UL,70.0,73.0,67.0,62.0
UIS,6.0,6.0,6.0,4.0
UI,343.0,440.0,247.0,415.0
UHS,224.0,267.0,198.0,177.0
UGP,3.0,3.0,3.0,2.0
UGI,31.0,39.0,27.0,35.0
UFPT,252.0,252.0,252.0,238.0
UFPI,143.0,157.0,125.0,97.0
UFCS,30.0,32.0,28.0,28.0
UEC,10.0,12.0,7.0,6.0
UDR,46.0,52.0,41.0,41.0
UDMY,10.0,13.0,7.0,7.0
UCTT,37.0,60.0,26.0,21.0
UBSI,40.0,43.0,38.0,36.0
UAMY,3.0,5.0,1.0,3.0
UAA,7.0,11.0,4.0,6.0
UA,9.0,9.0,9.0,6.0
U,25.0,34.0,15.0,24.0
TZOO,25.0,35.0,17.0,13.0
TYRA,30.0,33.0,28.0,10.0
TYL,680.0,775.0,570.0,580.0
TXO,20.0,20.0,20.0,15.0
TXNM,54.0,61.0,50.0,56.0
TXN,189.0,298.0,125.0,199.0
TXG,15.0,25.0,6.0,10.0
TX,30.0,35.0,25.0,29.0
TWST,50.0,62.0,33.0,33.0
TWO,13.0,15.0,10.0,10.0
TWLO,125.0,170.0,70.0,121.0
TWIN,12.0,12.0,12.0,7.0
TWFG,33.0,38.0,29.0,35.0
TW,149.0,212.0,125.0,137.0
TVTX,31.0,47.0,20.0,14.0
TVRD,65.0,65.0,65.0,26.0
TVGN,7.0,10.0,4.0,1.0
TV,4.0,7.0,2.0,1.0
TU,21.0,21.0,21.0,16.0
TTWO,228.0,275.0,170.0,233.0
TTI,5.0,6.0,4.0,3.0
TTGT,21.0,37.0,12.0,7.0
TTEK,41.0,49.0,33.0,35.0
TTEC,9.0,16.0,3.0,5.0
TTE,69.0,87.0,60.0,59.0
TTD,97.0,155.0,57.0,71.0
TTC,82.0,90.0,76.0,71.0
TTAN,122.0,140.0,100.0,104.0
TTAM,17.0,19.0,15.0,14.0
TT,427.0,500.0,370.0,427.0
TSQ,17.0,21.0,13.0,7.0
TSN,62.0,75.0,58.0,55.0
TSM,217.0,250.0,170.0,207.0
TSLX,22.0,25.0,21.0,23.0
TSHA,7.0,11.0,5.0,2.0
TSEM,60.0,60.0,60.0,41.0
TSCO,58.0,66.0,51.0,50.0
TS,44.0,50.0,34.0,35.0
TRVI,18.0,29.0,7.0,6.0
TRVG,4.0,5.0,3.0,4.0
TRV,271.0,310.0,203.0,267.0
TRUE,3.0,4.0,1.0,1.0
TRU,109.0,130.0,84.0,87.0
TRTX,9.0,11.0,8.0,7.0
TRS,40.0,40.0,40.0,26.0
TRP,62.0,74.0,42.0,49.0
TROX,8.0,10.0,7.0,6.0
TROW,94.0,120.0,80.0,94.0
TRNS,114.0,130.0,85.0,76.0
TRNO,65.0,77.0,56.0,59.0
TRML,49.0,70.0,25.0,18.0
TRMD,27.0,32.0,23.0,17.0
TRMB,88.0,92.0,84.0,72.0
TRIP,17.0,24.0,13.0,14.0
TRGP,199.0,244.0,140.0,162.0
TREX,76.0,97.0,54.0,57.0
TREE,64.0,70.0,58.0,36.0
TRDA,25.0,29.0,20.0,8.0
TPVG,6.0,8.0,5.0,7.0
TPR,83.0,110.0,52.0,79.0
TPL,917.0,917.0,917.0,1.0
TPH,41.0,43.0,37.0,30.0
TPG,60.0,73.0,42.0,50.0
TPC,43.0,50.0,38.0,40.0
TPB,76.0,85.0,65.0,74.0
TOWN,40.0,41.0,39.0,34.0
TOST,41.0,50.0,28.0,43.0
TOI,7.0,7.0,7.0,2.0
TNYA,6.0,9.0,5.0,0.0
TNXP,585.0,1.0,70.0,39.0
TNK,50.0,55.0,46.0,43.0
TNGX,12.0,19.0,8.0,4.0
TNET,96.0,140.0,74.0,82.0
TNDM,35.0,59.0,20.0,20.0
TNC,125.0,125.0,125.0,75.0
TMUS,257.0,305.0,200.0,237.0
TMP,69.0,70.0,68.0,62.0
TMO,605.0,686.0,470.0,408.0
TMHC,76.0,85.0,69.0,58.0
TME,15.0,17.0,13.0,18.0
TMCI,10.0,16.0,8.0,5.0
TMC,5.0,6.0,3.0,4.0
TLX,22.0,22.0,22.0,16.0
TLSI,10.0,12.0,10.0,5.0
TLS,3.0,6.0,2.0,2.0
TLRY,1.0,3.0,1.0,0.0
TLN,240.0,282.0,185.0,257.0
TKR,78.0,90.0,65.0,72.0
TKO,168.0,195.0,129.0,163.0
TKNO,8.0,12.0,5.0,5.0
TJX,141.0,164.0,120.0,126.0
TIXT,4.0,7.0,3.0,2.0
TITN,21.0,25.0,16.0,19.0
TIMB,17.0,17.0,16.0,17.0
TILE,30.0,30.0,30.0,20.0
TIL,119.0,180.0,52.0,35.0
TIGR,8.0,9.0,7.0,8.0
TIGO,38.0,50.0,32.0,36.0
TIC,11.0,11.0,11.0,11.0
THS,27.0,40.0,20.0,22.0
THRY,21.0,26.0,16.0,13.0
THO,87.0,125.0,65.0,87.0
THG,179.0,205.0,170.0,173.0
THFF,55.0,58.0,54.0,51.0
THC,182.0,230.0,137.0,166.0
TH,11.0,15.0,7.0,6.0
TGTX,40.0,55.0,22.0,39.0
TGS,40.0,40.0,40.0,27.0
TGNA,20.0,22.0,18.0,16.0
TGI,20.0,26.0,12.0,25.0
TFX,164.0,290.0,137.0,123.0
TFSL,15.0,15.0,15.0,13.0
TFPM,24.0,26.0,23.0,24.0
TFIN,68.0,109.0,55.0,60.0
TFII,121.0,204.0,88.0,87.0
TFC,47.0,60.0,41.0,40.0
TEVA,24.0,30.0,20.0,18.0
TERN,15.0,20.0,7.0,3.0
TEO,10.0,13.0,8.0,9.0
TENB,40.0,54.0,28.0,32.0
TEN,31.0,40.0,22.0,17.0
TEL,162.0,185.0,142.0,165.0
TECX,80.0,101.0,65.0,24.0
TECK,64.0,80.0,41.0,39.0
TECH,72.0,90.0,59.0,49.0
TEAM,285.0,380.0,211.0,214.0
TDY,542.0,600.0,470.0,505.0
TDW,69.0,70.0,68.0,45.0
TDUP,7.0,7.0,7.0,7.0
TDS,50.0,53.0,47.0,35.0
TDOC,9.0,12.0,7.0,7.0
TDG,1.0,1.0,1.0,1.0
TDC,27.0,35.0,21.0,22.0
TD,93.0,93.0,93.0,70.0
TCRX,7.0,10.0,3.0,1.0
TCPC,7.0,7.0,6.0,7.0
TCOM,77.0,85.0,70.0,62.0
TCBX,35.0,39.0,26.0,31.0
TCBK,47.0,53.0,43.0,40.0
TCBI,78.0,90.0,60.0,77.0
TBPH,11.0,15.0,9.0,10.0
TBN,36.0,47.0,31.0,22.0
TBLA,4.0,5.0,4.0,3.0
TBI,10.0,10.0,10.0,6.0
TBCH,12.0,16.0,9.0,13.0
TBBB,34.0,37.0,31.0,26.0
TATT,35.0,35.0,35.0,26.0
TASK,16.0,21.0,12.0,16.0
TARS,66.0,84.0,51.0,43.0
TARA,20.0,25.0,12.0,3.0
TALO,14.0,20.0,11.0,8.0
TAL,13.0,17.0,10.0,10.0
T,28.0,34.0,18.0,27.0
SYY,83.0,95.0,77.0,75.0
SYRE,53.0,65.0,27.0,17.0
SYNA,93.0,105.0,80.0,64.0
SYM,37.0,60.0,10.0,30.0
SYK,427.0,456.0,370.0,382.0
SYF,64.0,85.0,41.0,60.0
SYBT,77.0,81.0,68.0,76.0
SXT,93.0,93.0,93.0,96.0
SXI,223.0,250.0,200.0,156.0
SXC,13.0,13.0,13.0,8.0
SWX,75.0,78.0,73.0,71.0
SWTX,52.0,68.0,47.0,46.0
SWK,91.0,118.0,60.0,67.0
SWIM,7.0,10.0,4.0,5.0
SWBI,12.0,13.0,12.0,10.0
SVV,11.0,15.0,9.0,10.0
SVRA,7.0,15.0,2.0,2.0
SVM,5.0,6.0,5.0,4.0
SVCO,15.0,26.0,10.0,4.0
SVC,3.0,4.0,2.0,2.0
SUUN,6.0,6.0,6.0,1.0
SUPV,13.0,19.0,7.0,11.0
SUPN,36.0,36.0,36.0,33.0
SUNS,13.0,15.0,10.0,10.0
SUN,64.0,68.0,61.0,52.0
SU,64.0,68.0,60.0,36.0
STZ,220.0,261.0,170.0,171.0
STX,119.0,160.0,68.0,130.0
STWD,21.0,24.0,19.0,20.0
STT,102.0,120.0,73.0,98.0
STRW,13.0,14.0,13.0,10.0
STRL,185.0,185.0,185.0,202.0
STRA,107.0,120.0,98.0,85.0
STOK,23.0,35.0,17.0,11.0
STNG,60.0,71.0,49.0,39.0
STNE,15.0,23.0,6.0,13.0
STM,30.0,45.0,23.0,29.0
STLD,147.0,155.0,138.0,133.0
STLA,16.0,23.0,13.0,9.0
STKS,4.0,5.0,3.0,3.0
STKL,9.0,10.0,9.0,5.0
STIM,5.0,8.0,3.0,3.0
STEP,62.0,69.0,51.0,58.0
STE,263.0,280.0,250.0,242.0
STC,79.0,82.0,75.0,61.0
STBA,42.0,43.0,41.0,37.0
STAG,39.0,45.0,37.0,37.0
STAA,24.0,53.0,16.0,17.0
ST,34.0,55.0,21.0,27.0
SSYS,12.0,15.0,7.0,10.0
SSTK,43.0,56.0,25.0,17.0
SSTI,21.0,30.0,16.0,16.0
SSSS,8.0,8.0,8.0,7.0
SSRM,10.0,12.0,8.0,12.0
SSNC,91.0,96.0,86.0,81.0
SSD,188.0,192.0,185.0,158.0
SSBK,35.0,36.0,35.0,34.0
SSB,116.0,132.0,106.0,90.0
SRRK,42.0,50.0,31.0,34.0
SRPT,122.0,230.0,40.0,39.0
SRI,16.0,16.0,16.0,6.0
SRE,80.0,94.0,70.0,74.0
SRDX,43.0,43.0,43.0,29.0
SRCE,72.0,75.0,69.0,61.0
SRAD,27.0,32.0,19.0,24.0
SR,77.0,83.0,69.0,73.0
SQM,41.0,55.0,31.0,33.0
SPXC,183.0,199.0,165.0,160.0
SPWR,6.0,6.0,6.0,1.0
SPWH,3.0,4.0,2.0,3.0
SPTN,10.0,10.0,10.0,18.0
SPT,30.0,42.0,22.0,21.0
SPSC,192.0,233.0,159.0,141.0
SPRY,31.0,40.0,27.0,14.0
SPRO,5.0,5.0,5.0,2.0
SPR,36.0,37.0,34.0,38.0
SPOT,611.0,775.0,375.0,699.0
SPOK,20.0,20.0,20.0,16.0
SPNT,17.0,17.0,17.0,19.0
SPNS,34.0,43.0,28.0,30.0
SPIR,18.0,24.0,13.0,12.0
SPHR,45.0,74.0,32.0,38.0
SPH,21.0,25.0,17.0,18.0
SPG,179.0,200.0,158.0,160.0
SPFI,41.0,47.0,36.0,36.0
SPCE,13.0,36.0,3.0,3.0
SPB,89.0,110.0,65.0,56.0
SOUN,10.0,18.0,7.0,10.0
SOPH,6.0,11.0,5.0,2.0
SONY,28.0,33.0,23.0,26.0
SONO,12.0,15.0,10.0,10.0
SON,56.0,71.0,48.0,45.0
SOLV,80.0,87.0,71.0,74.0
SOFI,14.0,20.0,8.0,14.0
SOC,30.0,47.0,6.0,24.0
SOBO,28.0,38.0,25.0,26.0
SNY,61.0,65.0,56.0,49.0
SNX,137.0,156.0,120.0,125.0
SNV,56.0,76.0,42.0,49.0
SNPS,607.0,685.0,520.0,495.0
SNOW,222.0,265.0,121.0,210.0
SNN,28.0,28.0,28.0,29.0
SNDR,27.0,34.0,22.0,24.0
SNDL,3.0,4.0,3.0,1.0
SNCY,17.0,21.0,12.0,11.0
SNBR,8.0,12.0,6.0,10.0
SNAP,35.0,640.0,6.0,8.0
SNA,350.0,400.0,280.0,320.0
SN,121.0,175.0,98.0,87.0
SMTI,49.0,53.0,46.0,29.0
SMRT,1.0,2.0,1.0,0.0
SMR,27.0,41.0,14.0,35.0
SMPL,40.0,47.0,37.0,34.0
SMMT,37.0,44.0,30.0,21.0
SMLR,71.0,71.0,71.0,33.0
SMG,67.0,75.0,54.0,65.0
SMCI,45.0,93.0,30.0,43.0
SMBK,33.0,42.0,28.0,32.0
SMBC,66.0,68.0,65.0,53.0
SM,42.0,60.0,24.0,25.0
SLVM,85.0,100.0,61.0,53.0
SLSR,11.0,11.0,11.0,4.0
SLRC,15.0,17.0,12.0,16.0
SLQT,3.0,4.0,2.0,2.0
