Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZYXI,14.0,17.0,11.0,7.0
ZWS,38.0,40.0,37.0,34.0
ZVRA,21.0,25.0,17.0,7.0
ZVIA,2.0,3.0,1.0,2.0
ZURA,15.0,26.0,5.0,1.0
ZUMZ,22.0,25.0,19.0,13.0
ZTS,215.0,244.0,180.0,166.0
ZTO,24.0,30.0,20.0,20.0
ZSPC,19.0,20.0,18.0,10.0
ZS,226.0,270.0,170.0,196.0
ZNTL,8.0,20.0,2.0,1.0
ZM,90.0,115.0,75.0,75.0
ZLAB,40.0,44.0,36.0,35.0
ZKH,4.0,4.0,4.0,3.0
ZK,32.0,35.0,26.0,28.0
ZION,60.0,71.0,47.0,51.0
ZIMV,23.0,23.0,23.0,13.0
ZI,11.0,18.0,7.0,11.0
ZGN,8.0,10.0,7.0,8.0
ZG,83.0,100.0,47.0,75.0
ZEUS,43.0,43.0,43.0,32.0
ZETA,36.0,45.0,18.0,17.0
ZD,65.0,95.0,52.0,38.0
ZBRA,381.0,430.0,305.0,304.0
ZBH,124.0,150.0,107.0,104.0
Z,82.0,100.0,61.0,76.0
YY,35.0,35.0,35.0,49.0
YUMC,49.0,60.0,37.0,50.0
YUM,150.0,176.0,135.0,159.0
YSG,3.0,3.0,3.0,3.0
YPF,39.0,59.0,22.0,34.0
YOU,34.0,45.0,26.0,25.0
YMM,13.0,18.0,7.0,13.0
YMAB,19.0,26.0,7.0,4.0
YEXT,8.0,10.0,7.0,6.0
XYZ,96.0,120.0,65.0,61.0
XYL,149.0,165.0,125.0,129.0
XRAY,23.0,32.0,19.0,16.0
XPRO,20.0,29.0,14.0,10.0
XPOF,17.0,20.0,12.0,13.0
XPO,162.0,180.0,125.0,112.0
XPEV,13.0,18.0,10.0,21.0
XPEL,49.0,58.0,40.0,30.0
XOMA,72.0,104.0,40.0,21.0
XOM,129.0,147.0,105.0,105.0
XNCR,34.0,40.0,28.0,13.0
XMTR,36.0,48.0,20.0,25.0
XIFR,20.0,45.0,7.0,8.0
XHR,17.0,20.0,15.0,13.0
XERS,5.0,6.0,3.0,3.0
XENE,57.0,67.0,49.0,37.0
XEL,69.0,80.0,58.0,68.0
X,39.0,46.0,35.0,37.0
WYNN,119.0,138.0,103.0,90.0
WY,35.0,38.0,32.0,30.0
WWW,21.0,29.0,16.0,14.0
WVE,22.0,36.0,15.0,10.0
WULF,8.0,11.0,3.0,3.0
WU,12.0,15.0,9.0,10.0
WTW,342.0,400.0,272.0,334.0
WTTR,16.0,18.0,14.0,10.0
WTS,220.0,240.0,199.0,209.0
WTRG,43.0,46.0,41.0,38.0
WTI,7.0,7.0,7.0,1.0
WTFC,133.0,157.0,100.0,115.0
WTBA,23.0,23.0,23.0,21.0
WT,12.0,15.0,9.0,8.0
WST,344.0,400.0,250.0,230.0
WSR,15.0,16.0,15.0,13.0
WSO,486.0,560.0,425.0,501.0
WSM,173.0,226.0,123.0,187.0
WSFS,64.0,68.0,55.0,52.0
WSC,44.0,54.0,35.0,30.0
WSBC,40.0,45.0,35.0,32.0
WS,40.0,40.0,40.0,26.0
WRN,4.0,4.0,4.0,1.0
WRLD,10.0,10.0,10.0,126.0
WRBY,23.0,32.0,16.0,23.0
WRB,64.0,76.0,52.0,62.0
WPM,71.0,80.0,61.0,70.0
WPC,62.0,68.0,59.0,65.0
WOR,46.0,49.0,43.0,40.0
WOOF,4.0,6.0,1.0,2.0
WOLF,14.0,30.0,6.0,5.0
WMT,103.0,120.0,70.0,96.0
WMS,164.0,190.0,135.0,111.0
WMG,35.0,44.0,23.0,33.0
WMB,54.0,70.0,34.0,56.0
WM,236.0,255.0,216.0,230.0
WLK,140.0,174.0,110.0,111.0
WKC,29.0,32.0,27.0,28.0
WK,121.0,135.0,95.0,89.0
WIX,246.0,300.0,189.0,197.0
WING,357.0,461.0,280.0,230.0
WINA,445.0,445.0,445.0,318.0
WHR,106.0,138.0,74.0,91.0
WHF,10.0,12.0,9.0,10.0
WH,116.0,122.0,110.0,105.0
WGS,72.0,118.0,21.0,105.0
WGO,65.0,77.0,54.0,34.0
WFRD,107.0,142.0,82.0,54.0
WFG,106.0,115.0,100.0,77.0
WFC,73.0,92.0,57.0,74.0
WEX,195.0,275.0,155.0,154.0
WEST,11.0,13.0,10.0,6.0
WES,38.0,41.0,35.0,38.0
WERN,37.0,52.0,32.0,31.0
WEN,18.0,29.0,14.0,14.0
WELL,148.0,242.0,104.0,154.0
WEAV,17.0,20.0,14.0,12.0
WDAY,302.0,360.0,190.0,259.0
WD,107.0,110.0,105.0,84.0
WCC,218.0,245.0,175.0,171.0
WBX,1.0,2.0,0.0,0.0
WBTN,17.0,27.0,10.0,9.0
WBS,62.0,76.0,51.0,53.0
WBD,11.0,18.0,7.0,11.0
WBA,11.0,22.0,7.0,10.0
WB,10.0,12.0,7.0,10.0
WAY,40.0,52.0,27.0,43.0
WAT,390.0,450.0,312.0,379.0
WALD,5.0,7.0,4.0,3.0
WAL,98.0,116.0,74.0,81.0
WAFD,33.0,38.0,31.0,28.0
WABC,57.0,57.0,57.0,50.0
WAB,206.0,226.0,147.0,179.0
W,58.0,90.0,43.0,34.0
VZLA,4.0,4.0,3.0,2.0
VZ,46.0,55.0,39.0,42.0
VYX,15.0,17.0,14.0,10.0
VYGR,15.0,30.0,5.0,4.0
VXRT,4.0,4.0,4.0,0.0
VVX,65.0,80.0,54.0,47.0
VVV,44.0,49.0,38.0,35.0
VUZI,2.0,2.0,2.0,2.0
VTYX,10.0,14.0,6.0,1.0
VTS,30.0,31.0,29.0,23.0
VTRS,11.0,15.0,9.0,9.0
VTR,71.0,78.0,65.0,70.0
VTOL,50.0,50.0,50.0,32.0
VTMX,33.0,35.0,32.0,23.0
VTLE,44.0,75.0,27.0,21.0
VTEX,8.0,11.0,6.0,4.0
VSTS,14.0,16.0,13.0,11.0
VSTM,13.0,20.0,7.0,6.0
VSTA,3.0,3.0,3.0,3.0
VST,162.0,231.0,82.0,126.0
VSH,22.0,25.0,19.0,17.0
VSEC,118.0,135.0,100.0,118.0
VSCO,41.0,53.0,34.0,22.0
VSAT,15.0,22.0,10.0,9.0
VRT,137.0,155.0,111.0,87.0
VRSN,250.0,250.0,250.0,240.0
VRSK,299.0,321.0,279.0,296.0
VRRM,27.0,29.0,25.0,21.0
VRNT,35.0,40.0,30.0,22.0
VRNS,59.0,70.0,46.0,41.0
VRNA,66.0,93.0,36.0,67.0
VRN,12.0,15.0,10.0,4.0
VREX,22.0,23.0,22.0,12.0
VRE,18.0,23.0,14.0,16.0
VRDN,35.0,61.0,20.0,15.0
VOYA,83.0,91.0,75.0,70.0
VNT,45.0,50.0,40.0,34.0
VNOM,59.0,70.0,48.0,42.0
VNO,38.0,48.0,26.0,40.0
VNET,4.0,7.0,2.0,12.0
VNDA,16.0,20.0,13.0,5.0
VMI,402.0,425.0,380.0,338.0
VMEO,8.0,10.0,7.0,5.0
VLY,10.0,12.0,8.0,9.0
VLTO,112.0,125.0,100.0,98.0
VLRS,12.0,17.0,11.0,6.0
VLO,154.0,197.0,123.0,121.0
VLN,4.0,4.0,4.0,2.0
VKTX,97.0,138.0,38.0,27.0
VIV,9.0,11.0,9.0,8.0
VITL,44.0,52.0,32.0,30.0
VIRT,31.0,40.0,21.0,36.0
VIRC,17.0,17.0,17.0,10.0
VIR,35.0,110.0,14.0,8.0
VIPS,15.0,20.0,12.0,16.0
VINP,13.0,14.0,13.0,9.0
VIK,45.0,58.0,29.0,47.0
VIGL,19.0,24.0,16.0,2.0
VICR,43.0,43.0,43.0,60.0
VICI,34.0,37.0,30.0,32.0
VIAV,12.0,16.0,9.0,11.0
VHI,20.0,20.0,20.0,16.0
VFS,8.0,13.0,5.0,3.0
VFC,22.0,34.0,11.0,23.0
VERV,25.0,40.0,15.0,6.0
VERI,4.0,6.0,2.0,2.0
VERA,64.0,107.0,38.0,29.0
VEON,56.0,56.0,56.0,44.0
VEL,21.0,23.0,20.0,18.0
VEEV,254.0,307.0,192.0,220.0
VECO,32.0,47.0,25.0,21.0
VCYT,43.0,51.0,28.0,32.0
VCTR,68.0,82.0,59.0,60.0
VCEL,62.0,67.0,57.0,51.0
VBTX,31.0,34.0,30.0,25.0
VALN,17.0,17.0,17.0,7.0
VALE,13.0,16.0,11.0,9.0
VAL,55.0,90.0,40.0,34.0
VAC,103.0,142.0,85.0,72.0
V,353.0,410.0,292.0,352.0
UWMC,7.0,10.0,4.0,6.0
UVSP,29.0,31.0,27.0,29.0
UTZ,19.0,23.0,16.0,13.0
UTL,55.0,55.0,55.0,55.0
UTI,31.0,36.0,25.0,27.0
UTHR,388.0,600.0,280.0,310.0
USPH,111.0,120.0,98.0,81.0
USNA,36.0,36.0,36.0,30.0
USM,86.0,88.0,85.0,64.0
USGO,26.0,26.0,26.0,9.0
USFD,70.0,85.0,12.0,69.0
USCB,17.0,20.0,16.0,18.0
USB,54.0,65.0,42.0,44.0
USAU,11.0,13.0,10.0,8.0
USAC,27.0,30.0,26.0,25.0
UROY,5.0,7.0,3.0,1.0
URI,829.0,1.0,565.0,633.0
URGN,40.0,64.0,25.0,10.0
URBN,56.0,68.0,34.0,57.0
UPWK,18.0,24.0,16.0,14.0
UPST,73.0,108.0,14.0,59.0
UPS,140.0,180.0,82.0,119.0
UPLD,3.0,5.0,2.0,3.0
UPBD,38.0,45.0,30.0,24.0
UPB,56.0,75.0,38.0,8.0
UNTY,54.0,55.0,54.0,42.0
UNP,261.0,285.0,200.0,243.0
UNM,86.0,108.0,63.0,81.0
UNIT,7.0,8.0,6.0,5.0
UNH,629.0,700.0,559.0,476.0
UNF,203.0,235.0,175.0,210.0
ULTA,459.0,538.0,370.0,351.0
ULS,51.0,62.0,40.0,52.0
ULH,44.0,44.0,44.0,26.0
ULCC,7.0,14.0,4.0,6.0
UL,66.0,72.0,60.0,58.0
UIS,6.0,6.0,6.0,4.0
UI,331.0,440.0,222.0,332.0
UHS,228.0,274.0,198.0,178.0
UGP,3.0,3.0,3.0,2.0
UGI,28.0,30.0,27.0,33.0
UFPI,143.0,157.0,125.0,106.0
UFCS,28.0,28.0,28.0,28.0
UEIC,14.0,15.0,14.0,7.0
UE,22.0,22.0,22.0,20.0
UDR,46.0,52.0,40.0,45.0
UDMY,10.0,14.0,8.0,9.0
UCTT,56.0,70.0,40.0,24.0
UBSI,43.0,45.0,41.0,35.0
UBER,90.0,115.0,77.0,76.0
UAMY,1.0,2.0,1.0,1.0
UAL,113.0,165.0,69.0,91.0
UAA,9.0,15.0,4.0,6.0
U,25.0,34.0,15.0,25.0
TYRA,30.0,33.0,28.0,11.0
TYL,676.0,775.0,530.0,626.0
TXT,93.0,120.0,79.0,72.0
TXRH,192.0,234.0,136.0,185.0
TXNM,53.0,56.0,50.0,50.0
TXN,209.0,298.0,167.0,195.0
TXG,20.0,32.0,12.0,10.0
TX,47.0,56.0,39.0,30.0
TWST,54.0,62.0,40.0,42.0
TWLO,134.0,185.0,50.0,116.0
TWI,11.0,11.0,11.0,8.0
TWFG,32.0,38.0,23.0,31.0
TW,138.0,155.0,125.0,135.0
TVTX,30.0,45.0,20.0,19.0
TVGN,7.0,10.0,4.0,1.0
TV,4.0,7.0,2.0,1.0
TU,26.0,26.0,26.0,15.0
TTWO,213.0,270.0,170.0,214.0
TTMI,29.0,33.0,24.0,23.0
TTGT,30.0,40.0,18.0,14.0
TTEK,47.0,53.0,45.0,28.0
TTD,119.0,155.0,57.0,66.0
TTC,93.0,100.0,88.0,78.0
TTAM,18.0,19.0,16.0,15.0
TSVT,7.0,12.0,2.0,2.0
TSN,61.0,75.0,51.0,60.0
TSM,220.0,255.0,170.0,184.0
TSLX,23.0,25.0,21.0,22.0
TSLA,315.0,515.0,24.0,279.0
TSHA,6.0,8.0,5.0,1.0
TSEM,60.0,60.0,60.0,41.0
TSCO,59.0,67.0,47.0,54.0
TSAT,9.0,9.0,9.0,16.0
TS,46.0,50.0,40.0,37.0
TRVG,2.0,3.0,1.0,4.0
TRV,261.0,310.0,203.0,257.0
TRUP,46.0,56.0,34.0,33.0
TRUE,4.0,6.0,4.0,2.0
TRU,111.0,130.0,80.0,90.0
TRTX,9.0,11.0,8.0,8.0
TRS,40.0,40.0,40.0,22.0
TRP,62.0,74.0,42.0,46.0
TROX,15.0,22.0,11.0,7.0
TROW,114.0,125.0,102.0,100.0
TRN,35.0,39.0,33.0,29.0
TRML,54.0,74.0,25.0,12.0
TRMK,38.0,47.0,29.0,35.0
TRMD,40.0,48.0,32.0,17.0
TRMB,86.0,92.0,65.0,69.0
TRIP,17.0,24.0,13.0,13.0
TRIN,15.0,16.0,14.0,16.0
TRI,182.0,225.0,156.0,176.0
TRGP,207.0,246.0,140.0,186.0
TREX,78.0,97.0,67.0,58.0
TREE,67.0,78.0,58.0,40.0
TRDA,25.0,29.0,20.0,10.0
TPVG,7.0,8.0,7.0,7.0
TPR,78.0,110.0,48.0,81.0
TPL,917.0,917.0,917.0,1.0
TPH,40.0,43.0,37.0,31.0
TPG,64.0,78.0,44.0,50.0
TPC,39.0,40.0,38.0,27.0
TPB,71.0,80.0,65.0,67.0
TOWN,40.0,41.0,40.0,35.0
TOST,40.0,50.0,28.0,36.0
TOL,147.0,184.0,101.0,110.0
TNK,62.0,85.0,46.0,37.0
TNGX,12.0,19.0,8.0,2.0
TNET,105.0,140.0,74.0,75.0
TNDM,45.0,75.0,22.0,19.0
TNC,125.0,125.0,125.0,83.0
TMUS,254.0,290.0,200.0,262.0
TMO,653.0,715.0,570.0,524.0
TMHC,82.0,90.0,74.0,61.0
TME,14.0,16.0,10.0,13.0
TMDX,122.0,178.0,75.0,67.0
TMCI,10.0,16.0,7.0,9.0
TLYS,5.0,6.0,5.0,4.0
TLX,22.0,22.0,22.0,17.0
TLSI,11.0,16.0,10.0,5.0
TLS,4.0,6.0,2.0,3.0
TLRY,2.0,4.0,1.0,0.0
TLN,246.0,282.0,185.0,197.0
TKR,92.0,102.0,78.0,75.0
TKO,157.0,195.0,129.0,152.0
TKNO,8.0,12.0,5.0,5.0
TJX,135.0,151.0,110.0,123.0
TIXT,7.0,20.0,3.0,2.0
TITN,19.0,25.0,15.0,15.0
TIMB,15.0,17.0,14.0,14.0
TILE,30.0,30.0,30.0,18.0
TIGR,7.0,9.0,5.0,7.0
TIGO,33.0,37.0,32.0,27.0
THS,34.0,40.0,30.0,30.0
THRY,24.0,28.0,20.0,16.0
THRM,51.0,65.0,39.0,31.0
THR,40.0,42.0,38.0,28.0
THO,114.0,125.0,95.0,81.0
THG,175.0,180.0,170.0,169.0
THC,163.0,217.0,122.0,126.0
TH,10.0,15.0,5.0,5.0
TGTX,40.0,55.0,22.0,35.0
TGT,148.0,220.0,108.0,116.0
TGS,35.0,35.0,35.0,25.0
TGNA,21.0,23.0,19.0,17.0
TGI,18.0,26.0,12.0,25.0
TGB,3.0,3.0,3.0,2.0
TFX,182.0,290.0,140.0,134.0
TFSL,14.0,15.0,14.0,12.0
TFPM,20.0,22.0,19.0,17.0
TFIN,79.0,109.0,65.0,63.0
TFII,148.0,204.0,107.0,83.0
TFC,51.0,60.0,41.0,43.0
TEX,56.0,64.0,48.0,39.0
TEVA,23.0,30.0,18.0,15.0
TERN,18.0,26.0,7.0,3.0
TER,143.0,165.0,111.0,110.0
TEO,9.0,13.0,6.0,11.0
TENB,49.0,65.0,40.0,38.0
TEM,59.0,74.0,44.0,53.0
TELO,15.0,15.0,15.0,4.0
TELA,9.0,12.0,5.0,2.0
TEL,167.0,180.0,155.0,150.0
TECX,80.0,112.0,65.0,23.0
TECK,65.0,80.0,50.0,41.0
TECH,82.0,95.0,68.0,62.0
TEAM,319.0,380.0,200.0,276.0
TDY,538.0,585.0,470.0,497.0
TDW,92.0,130.0,68.0,40.0
TDUP,3.0,5.0,3.0,2.0
TDS,53.0,56.0,51.0,35.0
TDOC,11.0,17.0,8.0,9.0
TDG,1.0,1.0,1.0,1.0
TDC,34.0,60.0,25.0,23.0
TD,80.0,84.0,77.0,59.0
TCRX,10.0,15.0,7.0,1.0
TCPC,8.0,10.0,7.0,8.0
TCOM,77.0,85.0,64.0,64.0
TCMD,18.0,18.0,18.0,14.0
TCBX,37.0,42.0,26.0,34.0
TCBK,50.0,53.0,50.0,41.0
TCBI,79.0,97.0,60.0,75.0
TBRG,14.0,17.0,13.0,28.0
TBPH,13.0,21.0,9.0,9.0
TBN,36.0,47.0,31.0,23.0
TBLA,4.0,5.0,4.0,3.0
TBI,11.0,13.0,10.0,5.0
TBBK,67.0,72.0,64.0,51.0
TBBB,32.0,36.0,27.0,25.0
TASK,17.0,21.0,12.0,12.0
TARS,61.0,78.0,41.0,44.0
TAP,63.0,75.0,56.0,59.0
TALO,15.0,20.0,12.0,8.0
TALK,4.0,5.0,3.0,2.0
TAL,15.0,17.0,13.0,13.0
TAC,19.0,19.0,19.0,9.0
T,26.0,32.0,18.0,26.0
SYY,84.0,95.0,77.0,74.0
SYRE,54.0,65.0,40.0,19.0
SYNA,96.0,105.0,80.0,63.0
SYM,38.0,60.0,10.0,22.0
SYK,422.0,450.0,370.0,396.0
SYF,69.0,85.0,41.0,55.0
SYBT,69.0,76.0,64.0,70.0
SXT,85.0,85.0,85.0,70.0
SXI,231.0,250.0,220.0,183.0
SXC,13.0,13.0,13.0,9.0
SWX,74.0,78.0,72.0,74.0
SWKS,83.0,110.0,60.0,67.0
SWIM,6.0,10.0,2.0,7.0
SWBI,13.0,13.0,13.0,10.0
SW,60.0,69.0,50.0,48.0
SVV,11.0,15.0,9.0,7.0
SVRA,8.0,15.0,5.0,2.0
SVCO,19.0,26.0,15.0,6.0
SVC,5.0,8.0,2.0,2.0
SUUN,6.0,6.0,6.0,3.0
SUPV,13.0,19.0,7.0,14.0
SUPN,36.0,36.0,36.0,31.0
SUNS,14.0,15.0,12.0,11.0
SUN,63.0,66.0,62.0,57.0
SUI,134.0,150.0,114.0,133.0
SU,58.0,68.0,45.0,34.0
STZ,253.0,306.0,190.0,174.0
STX,122.0,160.0,68.0,92.0
STWD,22.0,24.0,19.0,20.0
STT,100.0,132.0,73.0,92.0
STRL,185.0,185.0,185.0,128.0
STRA,112.0,120.0,97.0,82.0
STOK,23.0,47.0,13.0,8.0
STNG,68.0,80.0,49.0,39.0
STNE,14.0,23.0,7.0,9.0
STM,31.0,45.0,25.0,25.0
STLD,146.0,155.0,132.0,127.0
STLA,27.0,39.0,16.0,12.0
STKL,9.0,10.0,9.0,5.0
STIM,6.0,8.0,3.0,5.0
STGW,8.0,10.0,6.0,6.0
STEP,69.0,85.0,61.0,57.0
STE,258.0,265.0,240.0,227.0
STC,79.0,82.0,75.0,70.0
STBA,41.0,41.0,41.0,38.0
STAG,40.0,45.0,37.0,37.0
ST,39.0,55.0,32.0,27.0
SSTK,50.0,56.0,45.0,20.0
SSTI,21.0,30.0,16.0,15.0
SSSS,7.0,8.0,6.0,5.0
SSRM,9.0,12.0,8.0,10.0
SSP,5.0,7.0,4.0,1.0
SSNC,97.0,105.0,93.0,86.0
SSD,192.0,192.0,192.0,162.0
SSBK,35.0,36.0,35.0,30.0
SRRK,40.0,50.0,30.0,36.0
SRPT,173.0,230.0,75.0,107.0
SRI,16.0,16.0,16.0,5.0
SRE,81.0,94.0,72.0,72.0
SRDX,50.0,71.0,43.0,31.0
SRCE,70.0,72.0,69.0,63.0
SRAD,19.0,28.0,13.0,21.0
SR,74.0,83.0,65.0,76.0
SQM,45.0,65.0,31.0,39.0
SPXC,174.0,199.0,160.0,141.0
SPTN,15.0,20.0,10.0,19.0
SPT,33.0,46.0,25.0,26.0
SPSC,207.0,240.0,175.0,133.0
SPR,36.0,37.0,31.0,33.0
SPOT,529.0,730.0,230.0,586.0
SPOK,20.0,20.0,20.0,16.0
SPNS,33.0,43.0,28.0,27.0
SPHR,47.0,60.0,40.0,38.0
SPH,21.0,25.0,17.0,20.0
SPGI,590.0,640.0,540.0,523.0
SPFI,42.0,47.0,36.0,33.0
SPCE,20.0,40.0,5.0,3.0
SPB,103.0,115.0,88.0,74.0
SONO,13.0,18.0,10.0,13.0
SON,58.0,71.0,48.0,46.0
SOLV,79.0,85.0,71.0,77.0
SOFI,12.0,20.0,3.0,13.0
SOC,26.0,37.0,6.0,23.0
SOBO,25.0,26.0,25.0,27.0
SO,90.0,98.0,83.0,88.0
SNY,60.0,60.0,60.0,59.0
SNX,147.0,165.0,132.0,132.0
SNV,58.0,76.0,42.0,48.0
SNPS,638.0,690.0,520.0,447.0
SNOW,202.0,235.0,121.0,177.0
SNDX,36.0,51.0,16.0,14.0
SNDR,30.0,38.0,25.0,25.0
SNDL,3.0,3.0,3.0,1.0
SNCR,13.0,13.0,13.0,8.0
SNBR,12.0,13.0,12.0,12.0
SNAP,36.0,640.0,9.0,9.0
SNA,346.0,390.0,280.0,333.0
SN,122.0,175.0,83.0,96.0
SMWB,16.0,23.0,10.0,9.0
SMTI,47.0,50.0,44.0,32.0
SMTC,67.0,85.0,54.0,36.0
SMRT,2.0,4.0,2.0,1.0
SMPL,40.0,45.0,34.0,35.0
SMP,42.0,42.0,42.0,28.0
SMMT,34.0,44.0,23.0,19.0
