Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZYME,21.0,30.0,13.0,13.0
ZWS,36.0,40.0,29.0,37.0
ZVRA,23.0,29.0,18.0,12.0
ZVIA,3.0,3.0,3.0,2.0
ZUMZ,25.0,25.0,25.0,13.0
ZTS,212.0,244.0,160.0,154.0
ZTO,21.0,24.0,19.0,18.0
ZS,296.0,385.0,207.0,289.0
ZLAB,54.0,75.0,36.0,32.0
ZKH,4.0,4.0,4.0,3.0
ZK,31.0,38.0,26.0,27.0
ZIMV,16.0,23.0,10.0,9.0
ZIM,14.0,20.0,9.0,15.0
ZH,4.0,4.0,4.0,4.0
ZGN,8.0,10.0,7.0,8.0
ZG,82.0,95.0,60.0,75.0
ZETA,30.0,45.0,15.0,14.0
ZENA,9.0,9.0,9.0,5.0
ZD,47.0,95.0,33.0,32.0
ZBRA,338.0,425.0,250.0,327.0
ZBIO,36.0,45.0,30.0,11.0
ZBH,110.0,135.0,95.0,93.0
Z,83.0,100.0,71.0,78.0
YUMC,48.0,60.0,37.0,47.0
YUM,157.0,185.0,135.0,149.0
YPF,41.0,59.0,25.0,31.0
YOU,32.0,45.0,26.0,28.0
YMM,15.0,18.0,10.0,12.0
YMAB,15.0,26.0,3.0,4.0
YEXT,9.0,10.0,8.0,7.0
YETI,39.0,55.0,29.0,32.0
YELP,34.0,38.0,30.0,34.0
XYZ,74.0,115.0,50.0,65.0
XRX,9.0,11.0,8.0,5.0
XRAY,20.0,28.0,14.0,16.0
XPOF,13.0,19.0,9.0,10.0
XPO,142.0,167.0,116.0,132.0
XPEV,23.0,31.0,16.0,17.0
XPEL,58.0,58.0,58.0,35.0
XOM,126.0,144.0,105.0,115.0
XNCR,28.0,34.0,6.0,8.0
XMTR,35.0,48.0,21.0,34.0
XIFR,16.0,30.0,9.0,9.0
XHR,12.0,16.0,9.0,13.0
XGN,7.0,8.0,7.0,6.0
XERS,6.0,8.0,4.0,5.0
XENE,54.0,67.0,47.0,32.0
