Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZWS,38.0,40.0,37.0,33.0
ZVRA,22.0,25.0,18.0,7.0
ZVIA,2.0,3.0,1.0,2.0
ZURA,15.0,26.0,5.0,1.0
ZUMZ,22.0,25.0,19.0,15.0
ZTS,215.0,244.0,180.0,165.0
ZTO,22.0,26.0,20.0,20.0
ZS,232.0,260.0,170.0,209.0
ZNTL,8.0,20.0,2.0,1.0
ZLAB,47.0,55.0,36.0,36.0
ZKH,4.0,4.0,4.0,3.0
ZK,32.0,35.0,26.0,24.0
ZION,61.0,71.0,47.0,50.0
ZIM,13.0,18.0,9.0,15.0
ZI,11.0,18.0,7.0,10.0
ZGN,8.0,10.0,7.0,7.0
ZG,82.0,100.0,47.0,68.0
ZEUS,43.0,43.0,43.0,32.0
ZETA,36.0,45.0,18.0,14.0
ZD,65.0,95.0,52.0,41.0
ZBRA,381.0,430.0,305.0,285.0
ZBIO,40.0,45.0,35.0,8.0
ZBH,124.0,150.0,107.0,112.0
Z,82.0,100.0,61.0,70.0
YUMC,48.0,60.0,37.0,53.0
YUM,151.0,176.0,135.0,157.0
YSG,3.0,3.0,3.0,5.0
YPF,42.0,59.0,25.0,37.0
YOU,34.0,45.0,26.0,27.0
YMM,16.0,18.0,13.0,13.0
YMAB,18.0,26.0,7.0,4.0
YEXT,9.0,10.0,7.0,6.0
YETI,44.0,55.0,35.0,33.0
YELP,37.0,48.0,30.0,38.0
XYZ,95.0,115.0,65.0,56.0
XYL,149.0,165.0,125.0,122.0
XRAY,23.0,32.0,18.0,15.0
XPRO,20.0,29.0,14.0,10.0
XPOF,15.0,20.0,9.0,8.0
XPO,156.0,180.0,125.0,112.0
XPEV,22.0,31.0,12.0,20.0
XPEL,49.0,58.0,40.0,31.0
XOMA,72.0,104.0,40.0,20.0
XOM,129.0,147.0,105.0,117.0
XNCR,34.0,40.0,28.0,11.0
XMTR,36.0,48.0,20.0,26.0
XIFR,20.0,45.0,7.0,9.0
XHR,17.0,20.0,15.0,12.0
XERS,5.0,8.0,4.0,5.0
XENE,57.0,67.0,49.0,34.0
XEL,72.0,80.0,59.0,69.0
X,41.0,46.0,35.0,43.0
WYNN,119.0,138.0,103.0,86.0
WY,35.0,38.0,32.0,29.0
WWW,21.0,29.0,16.0,14.0
WVE,22.0,36.0,15.0,9.0
WULF,9.0,11.0,6.0,2.0
WU,12.0,15.0,9.0,10.0
WTW,346.0,400.0,272.0,340.0
WTTR,16.0,18.0,14.0,10.0
WTS,220.0,240.0,199.0,209.0
WTRG,43.0,46.0,41.0,38.0
WTI,7.0,7.0,7.0,1.0
WTFC,133.0,157.0,100.0,113.0
WTBA,23.0,23.0,23.0,20.0
WT,12.0,15.0,9.0,9.0
WST,332.0,400.0,250.0,226.0
WSO,486.0,560.0,425.0,515.0
WSM,177.0,230.0,131.0,164.0
WSFS,64.0,68.0,55.0,52.0
WSC,42.0,54.0,32.0,29.0
WSBC,40.0,45.0,35.0,31.0
WS,34.0,34.0,34.0,26.0
WRN,4.0,4.0,4.0,1.0
WRLD,10.0,10.0,10.0,132.0
WRBY,23.0,32.0,16.0,19.0
WPM,72.0,80.0,61.0,76.0
WPC,63.0,68.0,60.0,62.0
WOW,7.0,7.0,7.0,5.0
WOLF,14.0,30.0,6.0,5.0
WNS,62.0,75.0,51.0,64.0
WNEB,8.0,8.0,8.0,9.0
WMS,164.0,190.0,135.0,111.0
WMG,35.0,44.0,23.0,32.0
WMB,56.0,70.0,34.0,59.0
WM,236.0,255.0,216.0,229.0
WLK,139.0,174.0,110.0,102.0
WLDN,51.0,56.0,47.0,41.0
WKC,29.0,32.0,27.0,28.0
WK,120.0,135.0,95.0,81.0
WING,353.0,461.0,270.0,229.0
WINA,445.0,445.0,445.0,322.0
WHR,106.0,138.0,74.0,92.0
WHD,55.0,67.0,48.0,46.0
WH,116.0,121.0,110.0,92.0
WFRD,107.0,142.0,82.0,54.0
WFG,106.0,115.0,100.0,77.0
WFC,74.0,92.0,57.0,72.0
WEX,187.0,255.0,155.0,155.0
WEST,10.0,13.0,9.0,7.0
WES,38.0,41.0,35.0,40.0
WERN,36.0,52.0,27.0,29.0
WEN,18.0,29.0,14.0,15.0
WEC,101.0,115.0,88.0,106.0
WEAV,17.0,20.0,14.0,11.0
WDFC,301.0,322.0,280.0,242.0
WDC,80.0,100.0,50.0,41.0
WD,107.0,110.0,105.0,85.0
WCN,202.0,219.0,189.0,193.0
WCC,219.0,245.0,205.0,163.0
WBX,1.0,2.0,0.0,0.0
WBTN,17.0,27.0,10.0,8.0
WBS,63.0,76.0,51.0,52.0
WBD,11.0,18.0,7.0,11.0
WBA,10.0,15.0,7.0,11.0
WAY,40.0,52.0,27.0,38.0
WAT,397.0,450.0,325.0,370.0
WALD,5.0,7.0,4.0,3.0
WAL,98.0,116.0,74.0,78.0
WAFD,33.0,38.0,31.0,28.0
WABC,57.0,57.0,57.0,50.0
WAB,206.0,226.0,147.0,186.0
W,56.0,90.0,43.0,35.0
VZLA,4.0,4.0,3.0,2.0
VZ,46.0,55.0,40.0,44.0
VYX,15.0,17.0,14.0,10.0
VYGR,13.0,30.0,5.0,3.0
VXRT,3.0,4.0,2.0,0.0
VVV,44.0,49.0,38.0,35.0
VUZI,2.0,2.0,2.0,2.0
VTYX,10.0,14.0,6.0,1.0
VTS,29.0,31.0,28.0,24.0
VTRS,10.0,13.0,9.0,8.0
VTR,72.0,78.0,65.0,68.0
VTMX,27.0,34.0,21.0,23.0
VTLE,39.0,75.0,23.0,22.0
VTEX,8.0,11.0,6.0,5.0
VSTS,13.0,16.0,13.0,10.0
VSTM,13.0,20.0,9.0,6.0
VSTA,3.0,3.0,3.0,4.0
VST,162.0,231.0,82.0,119.0
VSH,22.0,25.0,19.0,16.0
VSEC,118.0,135.0,100.0,122.0
VSCO,31.0,45.0,19.0,19.0
