Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZYXI,10.0,15.0,5.0,2.0
ZWS,37.0,40.0,34.0,30.0
ZVRA,22.0,25.0,18.0,7.0
ZVIA,2.0,3.0,1.0,2.0
ZURA,14.0,26.0,3.0,1.0
ZUMZ,22.0,25.0,19.0,13.0
ZTS,215.0,244.0,180.0,159.0
ZTO,22.0,26.0,20.0,19.0
ZSPC,15.0,20.0,10.0,8.0
ZS,234.0,260.0,180.0,192.0
ZNTL,8.0,20.0,2.0,1.0
ZM,89.0,115.0,75.0,73.0
ZLAB,47.0,55.0,36.0,36.0
ZKH,4.0,4.0,4.0,3.0
ZK,32.0,35.0,26.0,23.0
ZIMV,23.0,23.0,23.0,9.0
ZIM,13.0,18.0,9.0,13.0
ZH,4.0,4.0,4.0,4.0
ZGN,8.0,10.0,7.0,6.0
ZG,82.0,100.0,47.0,66.0
ZEUS,43.0,43.0,43.0,28.0
ZETA,36.0,45.0,18.0,13.0
ZBRA,381.0,430.0,305.0,238.0
ZBIO,40.0,45.0,35.0,7.0
ZBH,124.0,150.0,107.0,112.0
Z,81.0,100.0,61.0,68.0
YY,35.0,35.0,35.0,42.0
YUM,151.0,176.0,135.0,161.0
YSG,3.0,3.0,3.0,4.0
YPF,42.0,59.0,25.0,33.0
YOU,34.0,45.0,26.0,25.0
YMAB,18.0,26.0,7.0,4.0
YELP,37.0,48.0,30.0,37.0
XYZ,94.0,115.0,67.0,53.0
XYL,149.0,165.0,125.0,110.0
XRAY,23.0,32.0,18.0,13.0
XPRO,20.0,29.0,14.0,8.0
XPOF,15.0,20.0,9.0,8.0
XPO,152.0,179.0,125.0,96.0
XPEV,22.0,31.0,12.0,21.0
XPEL,49.0,58.0,40.0,27.0
XOMA,72.0,104.0,40.0,19.0
XOM,128.0,147.0,105.0,112.0
XNCR,34.0,40.0,28.0,8.0
XMTR,36.0,48.0,20.0,21.0
XIFR,18.0,30.0,7.0,9.0
XHR,17.0,20.0,15.0,10.0
XERS,6.0,8.0,4.0,4.0
XEL,73.0,80.0,59.0,72.0
