Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZYXI,14.0,17.0,11.0,7.0
ZWS,38.0,40.0,37.0,35.0
ZVRA,21.0,25.0,17.0,7.0
ZVIA,2.0,4.0,1.0,2.0
ZURA,15.0,26.0,5.0,1.0
ZUMZ,22.0,25.0,19.0,14.0
ZTS,215.0,244.0,180.0,164.0
ZTO,24.0,30.0,20.0,19.0
ZSPC,20.0,20.0,20.0,12.0
ZS,226.0,270.0,170.0,195.0
ZNTL,8.0,20.0,2.0,2.0
ZM,89.0,115.0,75.0,74.0
ZLAB,55.0,66.0,44.0,35.0
ZKH,4.0,4.0,4.0,3.0
ZK,32.0,35.0,26.0,25.0
ZION,60.0,71.0,47.0,53.0
ZIMV,19.0,23.0,16.0,13.0
ZIM,15.0,22.0,10.0,21.0
ZI,11.0,18.0,7.0,11.0
ZH,4.0,4.0,4.0,5.0
ZGN,8.0,10.0,7.0,8.0
ZG,83.0,100.0,47.0,75.0
ZEUS,43.0,43.0,43.0,36.0
ZETA,38.0,45.0,25.0,17.0
ZD,65.0,95.0,52.0,42.0
ZBRA,381.0,430.0,305.0,319.0
ZBH,124.0,150.0,107.0,104.0
YY,35.0,35.0,35.0,49.0
YUMC,49.0,60.0,37.0,49.0
YUM,147.0,165.0,130.0,151.0
YSG,3.0,3.0,3.0,3.0
YOU,35.0,45.0,26.0,22.0
YMM,13.0,18.0,7.0,11.0
YMAB,20.0,26.0,11.0,5.0
YEXT,8.0,10.0,7.0,6.0
YETI,44.0,55.0,35.0,37.0
YELP,37.0,48.0,30.0,34.0
XYZ,96.0,120.0,65.0,65.0
XYL,149.0,165.0,125.0,128.0
XRAY,24.0,32.0,20.0,18.0
XPRO,21.0,29.0,18.0,12.0
XPOF,17.0,21.0,12.0,13.0
XPO,161.0,180.0,125.0,122.0
XPEL,49.0,58.0,40.0,34.0
XOMA,72.0,104.0,40.0,22.0
XOM,129.0,147.0,105.0,109.0
XNCR,34.0,40.0,28.0,14.0
XMTR,35.0,48.0,20.0,27.0
XIFR,20.0,45.0,7.0,9.0
XHR,17.0,20.0,15.0,13.0
XERS,5.0,6.0,3.0,3.0
XEL,69.0,80.0,58.0,69.0
WYNN,119.0,138.0,103.0,91.0
WY,35.0,38.0,32.0,29.0
WWW,21.0,29.0,16.0,15.0
WWD,197.0,232.0,160.0,183.0
WVE,22.0,36.0,15.0,10.0
WULF,8.0,11.0,3.0,3.0
WU,12.0,15.0,9.0,10.0
WTW,342.0,400.0,272.0,336.0
WTTR,16.0,18.0,14.0,12.0
WTS,220.0,240.0,199.0,213.0
WTRG,43.0,46.0,39.0,37.0
WTI,7.0,7.0,7.0,1.0
WTFC,133.0,157.0,100.0,123.0
WTBA,23.0,23.0,23.0,22.0
WT,12.0,15.0,9.0,9.0
WST,344.0,400.0,250.0,219.0
WSR,15.0,16.0,15.0,13.0
WSO,495.0,560.0,425.0,498.0
WSM,172.0,226.0,123.0,198.0
WSFS,64.0,68.0,55.0,53.0
WSC,44.0,54.0,35.0,34.0
WSBC,40.0,45.0,35.0,34.0
WS,40.0,40.0,40.0,27.0
WRN,4.0,4.0,4.0,1.0
WRLD,10.0,10.0,10.0,134.0
WRBY,22.0,28.0,15.0,23.0
WRB,64.0,76.0,52.0,61.0
WPM,71.0,80.0,61.0,70.0
WPC,62.0,68.0,56.0,64.0
WOW,7.0,7.0,7.0,4.0
WOR,46.0,49.0,43.0,42.0
WOOF,4.0,6.0,1.0,2.0
WOLF,14.0,30.0,6.0,6.0
WNS,61.0,73.0,51.0,57.0
WNEB,8.0,8.0,8.0,9.0
WNC,14.0,14.0,14.0,11.0
WMT,103.0,120.0,70.0,96.0
WMG,35.0,44.0,23.0,34.0
WMB,54.0,70.0,34.0,56.0
WM,235.0,255.0,216.0,228.0
WLK,141.0,174.0,116.0,112.0
WLDN,49.0,51.0,47.0,33.0
WKC,29.0,32.0,27.0,30.0
WK,121.0,135.0,95.0,89.0
WIX,245.0,300.0,189.0,199.0
WING,362.0,461.0,280.0,227.0
WINA,445.0,445.0,445.0,337.0
WHR,106.0,138.0,74.0,104.0
WHD,56.0,67.0,48.0,57.0
WGS,72.0,118.0,21.0,99.0
WGO,65.0,77.0,54.0,42.0
WFRD,107.0,142.0,82.0,62.0
WFG,106.0,115.0,100.0,78.0
WFC,73.0,92.0,57.0,76.0
WEX,199.0,275.0,155.0,157.0
WEST,11.0,13.0,10.0,6.0
WES,37.0,41.0,34.0,40.0
WERN,37.0,52.0,32.0,32.0
WEN,18.0,29.0,14.0,15.0
WELL,140.0,242.0,104.0,150.0
WEC,101.0,115.0,88.0,105.0
WEAV,17.0,20.0,14.0,12.0
WDFC,301.0,322.0,280.0,238.0
WD,107.0,110.0,105.0,85.0
WCN,201.0,219.0,181.0,188.0
WCC,218.0,245.0,175.0,181.0
WBX,1.0,2.0,0.0,0.0
WBS,62.0,76.0,51.0,55.0
WBD,11.0,18.0,7.0,10.0
WBA,12.0,22.0,7.0,11.0
WB,10.0,12.0,7.0,10.0
WAY,40.0,52.0,27.0,42.0
WAT,390.0,450.0,312.0,385.0
WASH,34.0,34.0,34.0,31.0
WALD,5.0,7.0,4.0,3.0
WAL,98.0,116.0,74.0,86.0
WAFD,33.0,38.0,31.0,29.0
WABC,57.0,57.0,57.0,50.0
WAB,206.0,226.0,147.0,183.0
W,58.0,90.0,43.0,42.0
VZLA,4.0,4.0,3.0,1.0
