Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
HTZ,4.0,7.0,2.0,8.0
QURE,38.0,70.0,20.0,13.0
KOD,9.0,20.0,3.0,2.0
GCI,5.0,6.0,5.0,3.0
FLD,7.0,7.0,7.0,3.0
CAPR,34.0,77.0,15.0,11.0
CAR,121.0,150.0,95.0,84.0
VSTM,13.0,20.0,8.0,5.0
NNOX,12.0,15.0,9.0,5.0
VBNK,14.0,22.0,10.0,11.0
LLY,1.0,1.0,840.0,841.0
LAZR,53.0,135.0,2.0,3.0
TATT,35.0,35.0,35.0,32.0
PRAX,123.0,270.0,48.0,33.0
FTLF,20.0,21.0,20.0,13.0
MGNI,19.0,25.0,14.0,11.0
ARVN,34.0,81.0,12.0,8.0
NVX,4.0,4.0,4.0,1.0
PUBM,19.0,25.0,15.0,9.0
CTOS,5.0,7.0,5.0,3.0
MTSR,47.0,56.0,38.0,19.0
MOLN,12.0,12.0,12.0,3.0
BALY,17.0,18.0,14.0,18.0
CHRS,5.0,7.0,1.0,1.0
BYON,9.0,16.0,6.0,4.0
HAIN,6.0,10.0,4.0,2.0
IMNM,25.0,33.0,20.0,7.0
TRML,45.0,58.0,25.0,16.0
EVO,5.0,8.0,3.0,3.0
MBI,6.0,9.0,4.0,4.0
BMI,222.0,251.0,196.0,201.0
SKYX,4.0,5.0,2.0,1.0
FHTX,13.0,20.0,9.0,3.0
CDZI,10.0,10.0,10.0,2.0
SUNS,13.0,15.0,10.0,9.0
PLAY,33.0,56.0,21.0,19.0
SMRT,2.0,4.0,1.0,0.0
BHVN,62.0,76.0,54.0,20.0
ALDX,9.0,10.0,9.0,2.0
NUTX,80.0,100.0,60.0,149.0
BMBL,7.0,14.0,5.0,4.0
FIS,88.0,113.0,73.0,74.0
SNBR,10.0,13.0,6.0,5.0
AKBA,6.0,7.0,6.0,2.0
ACDC,7.0,9.0,6.0,4.0
HUMA,13.0,25.0,6.0,1.0
GDS,39.0,53.0,22.0,21.0
SLN,40.0,75.0,4.0,3.0
GES,12.0,13.0,12.0,9.0
DLTR,81.0,103.0,70.0,79.0
BGS,8.0,10.0,7.0,6.0
LFMD,11.0,15.0,7.0,5.0
KOS,5.0,7.0,4.0,1.0
ANAB,33.0,51.0,20.0,20.0
BYND,4.0,7.0,3.0,2.0
SDRL,62.0,80.0,35.0,20.0
FIVE,94.0,150.0,25.0,67.0
FULC,8.0,23.0,2.0,3.0
EPSN,7.0,8.0,7.0,6.0
FL,21.0,33.0,12.0,11.0
JBLU,5.0,8.0,3.0,3.0
ORKA,39.0,49.0,20.0,9.0
VIST,67.0,72.0,64.0,47.0
SES,1.0,1.0,1.0,0.0
VTLE,38.0,75.0,23.0,15.0
SMMT,35.0,44.0,30.0,24.0
EOLS,23.0,27.0,21.0,10.0
VLN,4.0,4.0,4.0,2.0
NGNE,47.0,72.0,16.0,11.0
ADSE,14.0,14.0,14.0,12.0
FWRD,32.0,47.0,22.0,15.0
NEON,16.0,16.0,16.0,9.0
DSX,3.0,3.0,3.0,1.0
ARCO,12.0,12.0,12.0,7.0
OBT,35.0,35.0,35.0,23.0
WTI,7.0,7.0,7.0,1.0
IMMP,8.0,10.0,7.0,1.0
TDW,92.0,130.0,68.0,34.0
RGLS,12.0,28.0,6.0,2.0
FVR,20.0,22.0,17.0,13.0
WOW,7.0,7.0,7.0,4.0
ARRY,9.0,17.0,6.0,4.0
CVGW,35.0,35.0,35.0,26.0
TMC,3.0,4.0,3.0,2.0
