Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZWS,40.0,53.0,29.0,45.0
ZVRA,24.0,29.0,18.0,11.0
ZVIA,4.0,6.0,2.0,2.0
ZUMZ,18.0,18.0,18.0,19.0
ZTS,196.0,244.0,155.0,141.0
ZTO,22.0,24.0,21.0,18.0
ZS,307.0,385.0,207.0,309.0
ZNTL,5.0,10.0,2.0,1.0
ZM,91.0,115.0,69.0,80.0
ZLAB,56.0,75.0,36.0,30.0
ZK,34.0,38.0,31.0,28.0
ZION,61.0,71.0,52.0,52.0
ZIMV,17.0,23.0,10.0,18.0
ZH,4.0,4.0,4.0,4.0
ZG,86.0,105.0,66.0,66.0
ZEUS,38.0,38.0,38.0,27.0
ZENA,9.0,9.0,9.0,5.0
ZD,38.0,45.0,33.0,35.0
ZBRA,369.0,425.0,300.0,275.0
ZBIO,38.0,45.0,30.0,26.0
ZBH,112.0,135.0,95.0,94.0
Z,90.0,105.0,75.0,69.0
YUMC,60.0,60.0,60.0,42.0
YUM,161.0,200.0,140.0,141.0
YTRA,3.0,3.0,3.0,1.0
YPF,46.0,59.0,33.0,26.0
YOU,34.0,45.0,25.0,29.0
YMM,15.0,18.0,10.0,11.0
YEXT,9.0,10.0,8.0,8.0
YETI,38.0,55.0,29.0,32.0
YELP,34.0,38.0,30.0,30.0
XYZ,80.0,100.0,50.0,74.0
XYL,154.0,175.0,130.0,144.0
XRX,6.0,8.0,4.0,3.0
XRAY,18.0,24.0,13.0,11.0
XPRO,12.0,15.0,11.0,12.0
XPO,140.0,167.0,83.0,129.0
XPEV,23.0,31.0,16.0,21.0
XOMA,69.0,104.0,35.0,36.0
XOM,125.0,144.0,105.0,110.0
XNCR,24.0,40.0,6.0,13.0
XMTR,40.0,50.0,30.0,48.0
XHR,13.0,16.0,9.0,12.0
XGN,12.0,15.0,10.0,10.0
XERS,7.0,10.0,4.0,7.0
XENE,53.0,67.0,43.0,39.0
XEL,81.0,92.0,76.0,80.0
WYNN,127.0,150.0,100.0,119.0
WYFI,34.0,51.0,25.0,33.0
WY,32.0,38.0,29.0,23.0
WWW,28.0,36.0,20.0,24.0
WWR,2.0,2.0,2.0,1.0
WWD,268.0,300.0,193.0,247.0
WVE,20.0,36.0,10.0,7.0
WULF,11.0,15.0,4.0,13.0
WU,8.0,10.0,7.0,7.0
WTTR,15.0,16.0,14.0,9.0
WTS,253.0,300.0,217.0,266.0
WTRG,45.0,47.0,41.0,40.0
WTFC,149.0,175.0,115.0,125.0
WTBA,20.0,20.0,20.0,19.0
WT,14.0,16.0,10.0,13.0
WST,321.0,400.0,250.0,262.0
WSR,15.0,16.0,14.0,11.0
WSO,472.0,540.0,425.0,366.0
WSM,199.0,230.0,166.0,181.0
WSFS,66.0,70.0,64.0,51.0
WSC,32.0,38.0,22.0,21.0
WSBC,39.0,45.0,36.0,31.0
WS,36.0,36.0,36.0,29.0
WRN,4.0,4.0,4.0,2.0
WRLD,10.0,10.0,10.0,164.0
WRD,13.0,15.0,12.0,10.0
WRBY,24.0,31.0,18.0,22.0
WPM,114.0,160.0,75.0,105.0
WPC,67.0,72.0,64.0,66.0
WOW,5.0,6.0,5.0,5.0
WOR,62.0,73.0,50.0,54.0
WOLF,9.0,20.0,3.0,31.0
WNS,67.0,76.0,53.0,76.0
WNEB,11.0,11.0,11.0,11.0
WNC,9.0,9.0,9.0,8.0
WMT,112.0,129.0,91.0,101.0
WMS,152.0,167.0,133.0,133.0
WMG,35.0,45.0,30.0,32.0
WMB,65.0,83.0,55.0,62.0
WM,254.0,277.0,229.0,219.0
WLK,91.0,100.0,78.0,75.0
WLDN,111.0,120.0,103.0,89.0
WKC,28.0,33.0,26.0,24.0
WK,99.0,110.0,92.0,86.0
WHR,96.0,145.0,63.0,71.0
WHF,9.0,12.0,6.0,6.0
WHD,50.0,53.0,48.0,33.0
WH,106.0,116.0,99.0,75.0
WGS,104.0,140.0,80.0,121.0
WGO,40.0,75.0,30.0,29.0
WFRD,98.0,142.0,70.0,61.0
WFG,100.0,115.0,90.0,67.0
WFC,85.0,98.0,65.0,77.0
WEX,180.0,255.0,135.0,150.0
WEST,10.0,10.0,10.0,4.0
WES,39.0,46.0,37.0,37.0
WERN,27.0,40.0,22.0,26.0
WEN,12.0,17.0,7.0,8.0
WELL,180.0,242.0,147.0,165.0
WEC,112.0,131.0,98.0,115.0
WEAV,15.0,18.0,13.0,6.0
WDH,2.0,2.0,2.0,1.0
WDFC,290.0,300.0,280.0,192.0
WDC,94.0,141.0,53.0,115.0
WDAY,287.0,345.0,235.0,233.0
WD,94.0,97.0,90.0,81.0
WCN,211.0,230.0,192.0,172.0
WCC,235.0,258.0,200.0,208.0
WBS,68.0,78.0,58.0,55.0
WBD,16.0,24.0,9.0,17.0
WAY,45.0,52.0,34.0,35.0
WAT,377.0,465.0,315.0,331.0
WASH,28.0,31.0,27.0,26.0
WALD,4.0,7.0,3.0,1.0
WAL,103.0,118.0,90.0,74.0
WAFD,32.0,33.0,31.0,28.0
WAB,222.0,240.0,200.0,190.0
VZLA,7.0,9.0,6.0,6.0
VZ,47.0,56.0,40.0,39.0
VYX,15.0,18.0,11.0,11.0
VYGR,13.0,30.0,5.0,5.0
VVX,62.0,80.0,50.0,55.0
VVV,42.0,50.0,38.0,33.0
VTYX,7.0,9.0,6.0,3.0
VTS,24.0,33.0,19.0,22.0
VTRS,10.0,13.0,9.0,9.0
VTR,75.0,80.0,65.0,67.0
VTMX,31.0,38.0,21.0,25.0
VTLE,26.0,47.0,16.0,15.0
VTEX,7.0,10.0,6.0,4.0
VSTS,9.0,13.0,5.0,4.0
VSTM,13.0,20.0,8.0,8.0
VST,227.0,295.0,152.0,197.0
VSH,19.0,19.0,19.0,14.0
VSEC,161.0,199.0,110.0,154.0
VSCO,26.0,45.0,17.0,28.0
VSAT,23.0,52.0,12.0,32.0
VRTX,494.0,575.0,405.0,407.0
VRTS,190.0,234.0,158.0,184.0
VRT,149.0,192.0,75.0,169.0
VRSN,277.0,305.0,250.0,260.0
VRSK,311.0,335.0,280.0,243.0
VRRM,27.0,30.0,23.0,23.0
VRNT,26.0,34.0,20.0,20.0
VRNS,63.0,80.0,50.0,61.0
VREX,19.0,23.0,16.0,10.0
VRDN,34.0,44.0,26.0,20.0
VPG,28.0,28.0,28.0,30.0
VOYG,47.0,52.0,41.0,31.0
VOYA,85.0,91.0,71.0,72.0
VOR,113.0,280.0,8.0,31.0
VNT,47.0,50.0,45.0,38.0
VNOM,55.0,72.0,46.0,36.0
VNET,11.0,20.0,5.0,8.0
VNDA,16.0,20.0,13.0,5.0
VMI,420.0,480.0,382.0,389.0
VMEO,7.0,7.0,5.0,7.0
VMC,308.0,330.0,279.0,301.0
VLY,12.0,14.0,10.0,10.0
VLTO,113.0,125.0,100.0,101.0
VLRS,8.0,12.0,4.0,6.0
VLO,169.0,200.0,136.0,158.0
VLN,4.0,4.0,4.0,1.0
VKTX,86.0,125.0,30.0,33.0
VIV,12.0,13.0,12.0,11.0
VITL,49.0,60.0,39.0,43.0
VIST,65.0,72.0,57.0,37.0
VIR,17.0,31.0,12.0,5.0
VIPS,18.0,19.0,17.0,19.0
VINP,13.0,14.0,13.0,10.0
VIK,58.0,75.0,44.0,58.0
VICR,43.0,43.0,43.0,48.0
VICI,36.0,38.0,33.0,30.0
VIAV,13.0,16.0,11.0,12.0
VIA,56.0,60.0,50.0,46.0
VGZ,3.0,3.0,3.0,2.0
VG,16.0,20.0,11.0,9.0
VFS,5.0,6.0,5.0,3.0
VFC,16.0,27.0,10.0,13.0
VERX,42.0,55.0,30.0,24.0
VERI,5.0,6.0,2.0,4.0
VERA,63.0,100.0,26.0,30.0
VEON,60.0,60.0,60.0,50.0
VENU,15.0,15.0,15.0,12.0
VEEV,307.0,380.0,200.0,287.0
VECO,27.0,35.0,20.0,27.0
VCYT,40.0,50.0,28.0,34.0
VCTR,74.0,84.0,62.0,65.0
VCEL,60.0,67.0,51.0,31.0
VC,131.0,151.0,95.0,110.0
VBNK,11.0,13.0,10.0,11.0
VALE,11.0,14.0,11.0,10.0
VAL,48.0,55.0,39.0,46.0
V,389.0,425.0,322.0,343.0
UWMC,6.0,10.0,4.0,5.0
UVSP,29.0,31.0,27.0,28.0
UUUU,9.0,16.0,5.0,20.0
UTL,55.0,55.0,55.0,47.0
UTI,35.0,40.0,31.0,29.0
UTHR,457.0,580.0,302.0,440.0
USPH,110.0,115.0,103.0,87.0
USNA,36.0,36.0,36.0,20.0
USGO,26.0,26.0,26.0,13.0
USFD,81.0,96.0,12.0,75.0
USCB,22.0,23.0,21.0,16.0
USB,53.0,66.0,43.0,45.0
USAU,17.0,22.0,10.0,17.0
USAS,3.0,3.0,3.0,4.0
USAR,26.0,40.0,16.0,32.0
USAC,25.0,27.0,23.0,22.0
UROY,4.0,4.0,4.0,4.0
URI,956.0,1.0,620.0,951.0
URG,2.0,3.0,1.0,1.0
URBN,81.0,93.0,70.0,68.0
UPXI,15.0,16.0,15.0,6.0
UPWK,19.0,27.0,15.0,16.0
UPST,81.0,108.0,47.0,48.0
UPS,109.0,150.0,75.0,82.0
UPBD,37.0,40.0,35.0,20.0
UPB,56.0,75.0,38.0,19.0
UNTY,56.0,63.0,50.0,46.0
UNP,261.0,295.0,215.0,225.0
UNM,93.0,108.0,75.0,75.0
UNIT,6.0,8.0,5.0,5.0
UNH,383.0,675.0,198.0,354.0
UNFI,36.0,48.0,24.0,41.0
UNF,179.0,197.0,152.0,157.0
UMH,18.0,20.0,15.0,14.0
UMC,7.0,7.0,7.0,7.0
UMBF,138.0,155.0,105.0,113.0
UMAC,19.0,20.0,18.0,13.0
ULS,70.0,77.0,63.0,72.0
ULH,24.0,24.0,24.0,18.0
ULCC,6.0,10.0,4.0,3.0
ULBI,14.0,14.0,14.0,6.0
UL,73.0,73.0,73.0,60.0
UIS,6.0,9.0,4.0,3.0
UI,499.0,600.0,299.0,655.0
UHS,217.0,251.0,185.0,196.0
UGP,4.0,4.0,4.0,3.0
UGI,31.0,39.0,27.0,31.0
UFPI,124.0,155.0,95.0,89.0
UFCS,30.0,33.0,28.0,30.0
UEC,13.0,19.0,10.0,14.0
UE,22.0,23.0,21.0,19.0
UDR,43.0,48.0,40.0,35.0
UDMY,9.0,12.0,7.0,6.0
UCTT,30.0,32.0,30.0,25.0
UCB,34.0,36.0,30.0,30.0
UBSI,40.0,43.0,38.0,35.0
UBER,104.0,130.0,78.0,93.0
UAMY,4.0,8.0,1.0,12.0
UAL,120.0,149.0,85.0,96.0
UAA,6.0,11.0,4.0,4.0
U,32.0,50.0,15.0,36.0
TZOO,21.0,26.0,17.0,9.0
TYRA,31.0,36.0,28.0,13.0
TXT,92.0,107.0,85.0,81.0
TXRH,196.0,235.0,162.0,163.0
TXO,21.0,22.0,21.0,13.0
TXNM,57.0,61.0,53.0,56.0
TXN,213.0,298.0,125.0,171.0
TXG,13.0,18.0,6.0,11.0
TX,32.0,40.0,25.0,35.0
TWST,48.0,62.0,33.0,31.0
TWO,12.0,14.0,10.0,9.0
TWLO,130.0,170.0,75.0,107.0
TWIN,12.0,12.0,12.0,14.0
TWI,11.0,12.0,11.0,7.0
TWFG,33.0,39.0,30.0,26.0
TW,145.0,212.0,119.0,107.0
TVRD,64.0,78.0,52.0,41.0
TV,4.0,9.0,2.0,2.0
TUYA,3.0,3.0,3.0,2.0
TU,21.0,21.0,21.0,15.0
TTWO,251.0,300.0,170.0,251.0
TTI,6.0,7.0,5.0,5.0
TTGT,16.0,37.0,8.0,5.0
TTEK,41.0,47.0,33.0,33.0
TTEC,3.0,3.0,3.0,3.0
TTE,64.0,68.0,60.0,57.0
TTC,92.0,100.0,86.0,72.0
TTAN,132.0,155.0,100.0,98.0
TTAM,17.0,19.0,14.0,14.0
TT,457.0,544.0,398.0,414.0
TSSI,20.0,20.0,20.0,17.0
TSQ,17.0,21.0,13.0,6.0
TSN,60.0,75.0,55.0,52.0
TSLX,23.0,25.0,21.0,20.0
TSLA,354.0,600.0,19.0,413.0
TSHA,9.0,12.0,6.0,4.0
TSEM,67.0,74.0,60.0,71.0
TRVI,21.0,27.0,18.0,9.0
TRVG,4.0,5.0,3.0,3.0
TRV,290.0,316.0,265.0,269.0
TRUP,53.0,67.0,45.0,41.0
TRUE,3.0,4.0,1.0,1.0
TRU,109.0,130.0,83.0,77.0
TRS,45.0,45.0,45.0,35.0
TRP,62.0,74.0,42.0,52.0
TROX,5.0,8.0,3.0,3.0
TROW,106.0,125.0,92.0,101.0
TRNS,112.0,130.0,85.0,68.0
TRNO,63.0,73.0,57.0,55.0
TRML,45.0,48.0,25.0,47.0
TRMK,41.0,43.0,36.0,37.0
TRMD,27.0,32.0,23.0,19.0
TRMB,92.0,100.0,84.0,75.0
TRIN,15.0,17.0,13.0,14.0
TRGP,207.0,244.0,182.0,152.0
TREX,70.0,90.0,54.0,50.0
TRDA,25.0,29.0,20.0,6.0
TPVG,6.0,7.0,5.0,5.0
TPR,108.0,142.0,60.0,108.0
TPH,39.0,43.0,34.0,30.0
TPB,78.0,98.0,65.0,88.0
TOWN,41.0,41.0,41.0,32.0
TOST,45.0,60.0,29.0,35.0
TOL,149.0,183.0,92.0,127.0
TOI,7.0,8.0,6.0,3.0
TNYA,6.0,9.0,5.0,2.0
TNXP,70.0,70.0,70.0,21.0
TNL,62.0,72.0,44.0,58.0
TNK,50.0,55.0,46.0,49.0
TNGX,10.0,13.0,8.0,7.0
TNET,96.0,140.0,74.0,61.0
TNDM,22.0,51.0,12.0,14.0
TNC,125.0,125.0,125.0,78.0
TMUS,265.0,305.0,200.0,228.0
TMQ,7.0,10.0,5.0,5.0
TMP,70.0,70.0,70.0,63.0
TMO,593.0,686.0,470.0,524.0
TMHC,77.0,85.0,69.0,61.0
TME,24.0,29.0,13.0,22.0
TMDX,125.0,155.0,75.0,107.0
TMCI,9.0,16.0,6.0,5.0
TMC,7.0,11.0,3.0,8.0
TLX,21.0,22.0,20.0,9.0
TLSI,10.0,12.0,10.0,4.0
TLS,4.0,6.0,4.0,6.0
