Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZYXI,10.0,15.0,5.0,2.0
ZWS,38.0,40.0,37.0,32.0
ZVRA,22.0,25.0,17.0,7.0
ZVIA,2.0,3.0,1.0,2.0
ZURA,15.0,26.0,5.0,1.0
ZUMZ,22.0,25.0,19.0,12.0
ZTS,215.0,244.0,180.0,160.0
ZTO,24.0,30.0,20.0,19.0
ZSPC,19.0,20.0,18.0,11.0
ZS,233.0,270.0,170.0,189.0
ZNTL,8.0,20.0,2.0,1.0
ZM,90.0,115.0,75.0,72.0
ZLAB,47.0,55.0,36.0,36.0
ZKH,4.0,4.0,4.0,3.0
ZK,32.0,35.0,26.0,29.0
ZIMV,23.0,23.0,23.0,11.0
ZIM,14.0,18.0,9.0,18.0
ZI,11.0,18.0,7.0,10.0
ZH,4.0,4.0,4.0,4.0
ZGN,8.0,10.0,7.0,7.0
ZG,83.0,100.0,47.0,66.0
ZEUS,43.0,43.0,43.0,31.0
ZETA,36.0,45.0,18.0,13.0
ZD,65.0,95.0,52.0,38.0
ZBH,124.0,150.0,107.0,107.0
Z,82.0,100.0,61.0,68.0
YUMC,48.0,60.0,37.0,49.0
YUM,150.0,176.0,135.0,153.0
YSG,3.0,3.0,3.0,4.0
YPF,39.0,59.0,22.0,33.0
YOU,34.0,45.0,26.0,24.0
YMM,16.0,18.0,13.0,12.0
YMAB,19.0,26.0,7.0,4.0
YEXT,9.0,10.0,7.0,6.0
YELP,37.0,48.0,30.0,34.0
XYZ,95.0,115.0,65.0,54.0
XYL,149.0,165.0,125.0,120.0
XRAY,23.0,32.0,18.0,15.0
XPOF,17.0,20.0,12.0,12.0
XPO,158.0,180.0,125.0,106.0
XPEV,15.0,29.0,10.0,25.0
XPEL,49.0,58.0,40.0,30.0
XOMA,72.0,104.0,40.0,20.0
XNCR,34.0,40.0,28.0,12.0
XMTR,36.0,48.0,20.0,23.0
XIFR,20.0,45.0,7.0,8.0
XHR,17.0,20.0,15.0,12.0
XERS,5.0,8.0,4.0,4.0
XENE,57.0,67.0,49.0,35.0
XEL,71.0,80.0,59.0,68.0
X,40.0,46.0,35.0,37.0
WYNN,119.0,138.0,103.0,83.0
WWW,21.0,29.0,16.0,13.0
WVE,22.0,36.0,15.0,10.0
WULF,8.0,11.0,3.0,2.0
WU,12.0,15.0,9.0,10.0
WTTR,16.0,18.0,14.0,9.0
WTS,220.0,240.0,199.0,206.0
WTRG,43.0,46.0,41.0,39.0
WTI,7.0,7.0,7.0,1.0
WTFC,133.0,157.0,100.0,107.0
WTBA,23.0,23.0,23.0,20.0
WT,12.0,15.0,9.0,8.0
WST,344.0,400.0,250.0,224.0
WSR,15.0,16.0,15.0,14.0
WSO,486.0,560.0,425.0,490.0
WSM,173.0,226.0,127.0,164.0
WSFS,64.0,68.0,55.0,50.0
WSC,42.0,54.0,32.0,28.0
WSBC,40.0,45.0,35.0,30.0
WS,34.0,34.0,34.0,25.0
WRN,4.0,4.0,4.0,1.0
WRLD,10.0,10.0,10.0,116.0
WRBY,23.0,32.0,16.0,20.0
WRB,64.0,76.0,52.0,61.0
WPC,63.0,68.0,60.0,61.0
WOW,7.0,7.0,7.0,4.0
WOR,46.0,49.0,43.0,40.0
WOOF,4.0,6.0,1.0,2.0
WOLF,14.0,30.0,6.0,5.0
WNS,61.0,73.0,51.0,59.0
WNEB,8.0,8.0,8.0,8.0
WNC,14.0,14.0,14.0,10.0
WMT,103.0,120.0,70.0,84.0
WMS,164.0,190.0,135.0,105.0
WMB,55.0,70.0,34.0,56.0
WM,236.0,255.0,216.0,222.0
WLK,140.0,174.0,110.0,105.0
WLDN,51.0,56.0,47.0,39.0
WKC,29.0,32.0,27.0,27.0
WK,121.0,135.0,95.0,85.0
WIX,243.0,300.0,169.0,172.0
WING,357.0,461.0,280.0,212.0
WHR,106.0,138.0,74.0,88.0
WHF,10.0,12.0,9.0,9.0
WHD,55.0,67.0,48.0,43.0
WH,116.0,122.0,110.0,87.0
WGS,72.0,118.0,21.0,89.0
WGO,65.0,77.0,54.0,34.0
WFRD,107.0,142.0,82.0,51.0
WFG,106.0,115.0,100.0,76.0
WFC,74.0,92.0,57.0,68.0
WEX,195.0,275.0,155.0,150.0
WEST,11.0,13.0,9.0,5.0
WES,38.0,41.0,35.0,39.0
WERN,37.0,52.0,32.0,29.0
WEN,18.0,29.0,14.0,15.0
WELL,150.0,242.0,104.0,145.0
WEC,101.0,115.0,88.0,104.0
WEAV,17.0,20.0,14.0,10.0
WDFC,301.0,322.0,280.0,237.0
WDAY,302.0,360.0,190.0,237.0
WD,107.0,110.0,105.0,85.0
WCN,202.0,219.0,189.0,183.0
WCC,218.0,245.0,175.0,158.0
WBX,1.0,2.0,0.0,0.0
WBTN,17.0,27.0,10.0,8.0
WBS,63.0,76.0,51.0,48.0
WBD,11.0,18.0,7.0,9.0
WBA,11.0,22.0,7.0,11.0
WAY,40.0,52.0,27.0,35.0
WAT,391.0,450.0,312.0,363.0
WASH,34.0,34.0,34.0,29.0
WALD,5.0,7.0,4.0,3.0
WAL,98.0,116.0,74.0,74.0
WABC,57.0,57.0,57.0,50.0
WAB,206.0,226.0,147.0,175.0
W,56.0,90.0,43.0,31.0
VZLA,4.0,4.0,3.0,2.0
VZ,46.0,55.0,39.0,43.0
VYX,15.0,16.0,14.0,9.0
VYGR,14.0,30.0,5.0,4.0
VXRT,4.0,4.0,4.0,0.0
VVX,65.0,80.0,54.0,48.0
VVV,44.0,49.0,38.0,34.0
VUZI,2.0,2.0,2.0,2.0
VTS,30.0,31.0,29.0,23.0
VTR,72.0,78.0,65.0,66.0
VTOL,50.0,50.0,50.0,31.0
VTMX,33.0,34.0,32.0,22.0
VTLE,40.0,75.0,23.0,19.0
VTEX,8.0,11.0,6.0,4.0
VSTS,14.0,16.0,13.0,10.0
VSTM,13.0,20.0,7.0,7.0
VSTA,3.0,3.0,3.0,3.0
VST,162.0,231.0,82.0,117.0
VSH,22.0,25.0,19.0,16.0
VSEC,118.0,135.0,100.0,112.0
VSCO,31.0,45.0,19.0,17.0
VSAT,15.0,22.0,10.0,9.0
VRTX,506.0,586.0,408.0,502.0
VRT,136.0,155.0,111.0,83.0
VRSN,250.0,250.0,250.0,233.0
VRSK,299.0,321.0,279.0,289.0
VRRM,27.0,29.0,25.0,20.0
VRNT,35.0,40.0,30.0,20.0
VRNS,59.0,70.0,46.0,39.0
VRNA,69.0,93.0,36.0,65.0
VRN,12.0,15.0,10.0,5.0
VREX,22.0,23.0,22.0,12.0
VRE,18.0,23.0,17.0,16.0
VRDN,35.0,61.0,20.0,15.0
VPG,28.0,28.0,28.0,22.0
VOYA,83.0,91.0,75.0,64.0
VNT,45.0,50.0,40.0,32.0
VNO,38.0,48.0,26.0,35.0
VNET,4.0,7.0,2.0,10.0
VNDA,16.0,20.0,13.0,4.0
VMI,402.0,425.0,380.0,318.0
VMC,303.0,349.0,285.0,225.0
VLY,10.0,12.0,8.0,8.0
VLTO,113.0,125.0,100.0,95.0
VLRS,12.0,17.0,11.0,5.0
VLO,156.0,197.0,131.0,125.0
VLN,4.0,4.0,4.0,1.0
VKTX,96.0,138.0,38.0,29.0
VIV,9.0,11.0,9.0,8.0
VITL,44.0,52.0,32.0,29.0
VIST,64.0,72.0,53.0,47.0
VIRT,31.0,40.0,21.0,34.0
VIRC,17.0,17.0,17.0,9.0
VIR,35.0,110.0,14.0,7.0
VIPS,15.0,20.0,12.0,16.0
VINP,13.0,14.0,13.0,9.0
VIGL,19.0,24.0,16.0,2.0
VIAV,12.0,16.0,9.0,10.0
VG,17.0,23.0,11.0,9.0
VFS,8.0,13.0,5.0,3.0
VFC,22.0,34.0,11.0,16.0
VERX,50.0,62.0,31.0,32.0
VERV,25.0,40.0,15.0,6.0
VERI,4.0,6.0,2.0,2.0
VEON,56.0,56.0,56.0,39.0
VEL,21.0,23.0,20.0,19.0
VEEV,255.0,307.0,192.0,228.0
VECO,32.0,47.0,25.0,21.0
VCYT,43.0,51.0,28.0,30.0
VCTR,68.0,82.0,59.0,56.0
VCSA,4.0,5.0,3.0,5.0
VCEL,62.0,67.0,57.0,45.0
VC,117.0,135.0,95.0,80.0
VBTX,31.0,34.0,30.0,23.0
VBNK,14.0,22.0,10.0,9.0
VALN,17.0,17.0,17.0,6.0
VALE,13.0,16.0,11.0,9.0
VAL,55.0,90.0,40.0,36.0
V,353.0,410.0,292.0,327.0
UWMC,7.0,10.0,4.0,5.0
UVSP,29.0,31.0,27.0,27.0
UVE,25.0,25.0,25.0,21.0
UTZ,19.0,23.0,16.0,13.0
UTL,55.0,55.0,55.0,55.0
UTI,31.0,36.0,25.0,25.0
UTHR,388.0,600.0,280.0,305.0
USPH,111.0,120.0,98.0,76.0
USNA,36.0,36.0,36.0,30.0
USM,86.0,88.0,85.0,63.0
USGO,26.0,26.0,26.0,8.0
USCB,17.0,20.0,16.0,17.0
USB,54.0,65.0,42.0,40.0
USAU,11.0,13.0,10.0,8.0
UROY,5.0,7.0,3.0,1.0
URI,829.0,1.0,565.0,593.0
URGN,38.0,55.0,25.0,10.0
UPWK,18.0,24.0,15.0,12.0
UPST,73.0,108.0,14.0,46.0
UPS,138.0,180.0,82.0,115.0
UPLD,3.0,5.0,2.0,3.0
UPB,56.0,75.0,38.0,9.0
UNP,263.0,295.0,200.0,234.0
UNM,86.0,108.0,63.0,76.0
UNIT,7.0,8.0,6.0,4.0
UNH,629.0,700.0,559.0,480.0
UNFI,27.0,33.0,21.0,26.0
UNF,203.0,235.0,175.0,203.0
UMH,21.0,22.0,20.0,17.0
UMC,7.0,7.0,7.0,6.0
UMBF,128.0,146.0,98.0,98.0
ULTA,459.0,538.0,370.0,314.0
ULS,51.0,62.0,40.0,50.0
ULH,44.0,44.0,44.0,25.0
ULCC,7.0,14.0,4.0,5.0
ULBI,14.0,14.0,14.0,5.0
UIS,6.0,6.0,6.0,3.0
UI,331.0,440.0,222.0,302.0
UHS,230.0,274.0,198.0,163.0
UGP,3.0,3.0,3.0,2.0
UGI,28.0,30.0,27.0,31.0
UFPT,323.0,392.0,255.0,209.0
UEIC,14.0,15.0,14.0,6.0
UE,22.0,22.0,22.0,18.0
UDR,46.0,52.0,40.0,42.0
UDMY,10.0,14.0,8.0,7.0
UCTT,56.0,70.0,40.0,24.0
UBSI,41.0,45.0,38.0,34.0
UAMY,1.0,2.0,1.0,1.0
UAL,114.0,165.0,69.0,69.0
UAA,8.0,15.0,4.0,7.0
U,25.0,34.0,15.0,20.0
TZOO,25.0,35.0,17.0,13.0
TYRA,30.0,33.0,28.0,10.0
TYL,676.0,775.0,530.0,552.0
TXT,93.0,120.0,79.0,72.0
TXRH,192.0,234.0,136.0,167.0
TXNM,53.0,56.0,50.0,51.0
TXN,209.0,298.0,167.0,173.0
TX,42.0,56.0,32.0,32.0
TWO,13.0,15.0,12.0,13.0
TWFG,32.0,38.0,23.0,28.0
TW,138.0,155.0,125.0,133.0
TVTX,30.0,45.0,20.0,19.0
TVGN,7.0,10.0,4.0,1.0
TV,4.0,7.0,2.0,1.0
TU,26.0,26.0,26.0,15.0
TTWO,213.0,270.0,170.0,203.0
TTMI,29.0,33.0,24.0,21.0
TTI,6.0,8.0,5.0,3.0
TTGT,30.0,40.0,18.0,13.0
TTEK,47.0,53.0,45.0,28.0
TTEC,10.0,16.0,3.0,3.0
TTE,72.0,87.0,62.0,61.0
TTD,119.0,155.0,57.0,53.0
TTC,89.0,100.0,80.0,71.0
TTAN,116.0,125.0,100.0,82.0
TTAM,18.0,19.0,16.0,13.0
TT,413.0,500.0,350.0,338.0
TSVT,6.0,12.0,2.0,4.0
TSQ,16.0,21.0,12.0,7.0
TSN,61.0,75.0,51.0,59.0
TSM,220.0,255.0,170.0,171.0
TSLX,23.0,25.0,21.0,21.0
TSLA,325.0,550.0,24.0,240.0
TSEM,60.0,60.0,60.0,37.0
TSCO,59.0,67.0,47.0,51.0
TSAT,9.0,9.0,9.0,21.0
TS,46.0,50.0,40.0,36.0
TRVI,15.0,29.0,6.0,6.0
TRVG,2.0,3.0,1.0,4.0
TRV,261.0,310.0,203.0,256.0
TRUE,4.0,6.0,4.0,1.0
