Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZVRA,23.0,29.0,18.0,7.0
ZVIA,4.0,6.0,2.0,2.0
ZURA,14.0,26.0,2.0,1.0
ZUMZ,18.0,18.0,18.0,20.0
ZNTL,5.0,10.0,2.0,1.0
ZM,90.0,115.0,69.0,86.0
ZLAB,56.0,75.0,36.0,32.0
ZKH,4.0,4.0,4.0,2.0
ZK,34.0,38.0,31.0,31.0
ZION,60.0,71.0,52.0,57.0
ZIMV,17.0,23.0,10.0,18.0
ZIM,14.0,20.0,9.0,14.0
ZH,4.0,4.0,4.0,5.0
ZGN,9.0,11.0,7.0,9.0
ZG,86.0,105.0,66.0,86.0
ZEUS,38.0,38.0,38.0,32.0
ZETA,30.0,45.0,18.0,20.0
ZENA,9.0,9.0,9.0,5.0
ZD,38.0,45.0,33.0,38.0
ZBRA,357.0,425.0,300.0,317.0
ZBIO,36.0,45.0,30.0,19.0
ZBH,111.0,135.0,95.0,99.0
Z,90.0,105.0,75.0,90.0
YUMC,60.0,60.0,60.0,44.0
YPF,46.0,59.0,33.0,27.0
YOU,34.0,45.0,25.0,36.0
YMM,15.0,18.0,10.0,13.0
YEXT,9.0,10.0,8.0,8.0
YETI,38.0,55.0,29.0,35.0
YELP,34.0,38.0,30.0,31.0
XYZ,80.0,100.0,50.0,75.0
XYL,150.0,175.0,130.0,140.0
XRX,6.0,8.0,4.0,3.0
XRAY,18.0,24.0,14.0,13.0
XPRO,12.0,15.0,11.0,12.0
XPOF,12.0,17.0,9.0,8.0
XPO,138.0,167.0,84.0,129.0
XPEV,23.0,31.0,16.0,21.0
XOMA,69.0,104.0,35.0,36.0
XOM,124.0,145.0,105.0,115.0
XNCR,22.0,34.0,6.0,9.0
XIFR,16.0,30.0,11.0,9.0
XHR,13.0,16.0,9.0,14.0
XGN,12.0,15.0,10.0,9.0
XERS,7.0,10.0,4.0,7.0
XENE,53.0,67.0,43.0,36.0
XEL,76.0,80.0,73.0,72.0
WYFI,29.0,34.0,25.0,20.0
WY,32.0,38.0,29.0,24.0
WWW,27.0,36.0,20.0,30.0
WWD,253.0,299.0,160.0,237.0
WW,0.0,0.0,0.0,30.0
WVE,20.0,36.0,10.0,6.0
WULF,11.0,15.0,4.0,11.0
WU,8.0,10.0,7.0,8.0
WTW,362.0,400.0,305.0,332.0
WTS,245.0,300.0,217.0,279.0
WTFC,147.0,165.0,115.0,134.0
WT,13.0,16.0,10.0,13.0
WSR,15.0,16.0,14.0,12.0
WSO,484.0,540.0,450.0,387.0
WSM,199.0,230.0,166.0,196.0
WSFS,66.0,70.0,64.0,54.0
WSC,36.0,40.0,32.0,22.0
WSBC,38.0,45.0,34.0,31.0
WRN,4.0,4.0,4.0,1.0
WRBY,24.0,30.0,18.0,26.0
WRB,72.0,82.0,60.0,73.0
WPM,101.0,129.0,75.0,105.0
WPC,67.0,72.0,64.0,67.0
WOW,5.0,6.0,5.0,5.0
WOR,59.0,81.0,46.0,61.0
WOOF,3.0,4.0,2.0,3.0
WOLF,9.0,20.0,3.0,2.0
WNS,67.0,76.0,53.0,76.0
WNEB,11.0,11.0,11.0,12.0
WNC,9.0,9.0,9.0,11.0
WMT,111.0,127.0,91.0,104.0
WMB,62.0,70.0,55.0,58.0
WM,254.0,277.0,229.0,215.0
WLK,92.0,100.0,73.0,86.0
WLDN,111.0,120.0,103.0,102.0
WKC,29.0,33.0,26.0,26.0
WHR,98.0,145.0,63.0,86.0
WHF,10.0,12.0,9.0,8.0
