Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZYME,21.0,30.0,13.0,13.0
ZWS,36.0,40.0,29.0,37.0
ZVRA,23.0,26.0,18.0,11.0
ZVIA,3.0,3.0,3.0,2.0
ZTS,212.0,244.0,160.0,158.0
ZTO,21.0,24.0,19.0,17.0
ZM,87.0,115.0,71.0,77.0
ZLAB,54.0,75.0,36.0,35.0
ZKH,4.0,4.0,4.0,3.0
ZK,31.0,38.0,26.0,26.0
ZION,57.0,71.0,40.0,55.0
ZIMV,16.0,23.0,10.0,9.0
ZH,4.0,4.0,4.0,4.0
ZGN,8.0,10.0,7.0,8.0
ZG,82.0,95.0,60.0,72.0
ZEUS,41.0,41.0,41.0,34.0
ZETA,30.0,45.0,15.0,15.0
ZD,47.0,95.0,33.0,33.0
ZBRA,331.0,425.0,250.0,321.0
ZBIO,36.0,45.0,30.0,10.0
Z,83.0,100.0,71.0,75.0
YUMC,48.0,60.0,37.0,47.0
YOU,32.0,45.0,26.0,28.0
YMAB,15.0,26.0,3.0,4.0
YEXT,9.0,10.0,8.0,8.0
YETI,39.0,55.0,29.0,32.0
YELP,34.0,38.0,30.0,34.0
XYZ,74.0,115.0,50.0,68.0
XYL,143.0,165.0,125.0,131.0
XRX,9.0,11.0,8.0,5.0
XRAY,20.0,28.0,14.0,16.0
XPRO,12.0,12.0,12.0,9.0
XPOF,13.0,19.0,9.0,10.0
XPO,141.0,167.0,116.0,132.0
XPEV,23.0,31.0,16.0,17.0
XPER,19.0,30.0,12.0,8.0
XPEL,58.0,58.0,58.0,37.0
XOMA,69.0,104.0,35.0,27.0
XOM,125.0,144.0,105.0,113.0
XNCR,28.0,34.0,6.0,9.0
XIFR,16.0,30.0,9.0,9.0
XHR,12.0,16.0,9.0,12.0
XERS,6.0,8.0,4.0,5.0
XENE,54.0,67.0,47.0,32.0
XEL,75.0,80.0,68.0,67.0
WYNN,112.0,122.0,99.0,110.0
WY,33.0,38.0,30.0,26.0
