Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZYME,21.0,30.0,13.0,13.0
ZWS,36.0,40.0,29.0,36.0
ZVRA,23.0,29.0,18.0,12.0
ZVIA,3.0,3.0,3.0,2.0
ZUMZ,25.0,25.0,25.0,13.0
ZTS,212.0,244.0,160.0,151.0
ZLAB,54.0,75.0,36.0,35.0
ZKH,4.0,4.0,4.0,3.0
ZK,31.0,38.0,26.0,29.0
ZION,57.0,71.0,40.0,55.0
ZIMV,16.0,23.0,10.0,8.0
ZIM,14.0,20.0,9.0,15.0
ZH,4.0,4.0,4.0,4.0
ZGN,8.0,10.0,7.0,8.0
ZG,82.0,95.0,60.0,74.0
ZEUS,41.0,41.0,41.0,33.0
ZETA,30.0,45.0,15.0,14.0
ZEPP,13.0,13.0,13.0,12.0
ZENA,9.0,9.0,9.0,6.0
ZD,47.0,95.0,33.0,30.0
ZBRA,350.0,425.0,254.0,319.0
ZBIO,36.0,45.0,30.0,13.0
ZBH,111.0,135.0,95.0,94.0
YUMC,48.0,60.0,37.0,46.0
YUM,159.0,200.0,135.0,146.0
YPF,41.0,59.0,25.0,30.0
YOU,32.0,45.0,26.0,29.0
YMM,15.0,18.0,10.0,12.0
YMAB,15.0,26.0,3.0,4.0
YEXT,9.0,10.0,8.0,8.0
YETI,39.0,55.0,29.0,33.0
YELP,34.0,38.0,30.0,34.0
XYZ,73.0,115.0,50.0,69.0
XYL,146.0,165.0,125.0,130.0
XRX,9.0,11.0,8.0,4.0
XRAY,20.0,28.0,14.0,15.0
XPRO,11.0,12.0,10.0,8.0
XPOF,13.0,19.0,9.0,10.0
XPO,141.0,167.0,116.0,128.0
XPEV,23.0,31.0,16.0,17.0
XPER,19.0,30.0,12.0,7.0
XPEL,58.0,58.0,58.0,34.0
XOMA,69.0,104.0,35.0,26.0
XOM,126.0,144.0,105.0,112.0
XNCR,28.0,34.0,6.0,8.0
XMTR,35.0,48.0,21.0,34.0
XIFR,16.0,30.0,9.0,8.0
XHR,12.0,16.0,9.0,12.0
XGN,7.0,8.0,7.0,7.0
XERS,6.0,8.0,4.0,5.0
XENE,54.0,67.0,47.0,31.0
XEL,75.0,80.0,68.0,69.0
WYNN,112.0,122.0,99.0,109.0
WY,33.0,38.0,30.0,25.0
WWW,19.0,22.0,17.0,19.0
WWD,232.0,294.0,160.0,253.0
WW,2.0,6.0,0.0,34.0
WVE,20.0,36.0,10.0,7.0
WULF,8.0,11.0,4.0,5.0
WU,10.0,13.0,7.0,8.0
WTW,367.0,400.0,305.0,307.0
WTTR,14.0,16.0,14.0,9.0
WTS,231.0,275.0,199.0,246.0
WTRG,43.0,46.0,41.0,37.0
WTFC,138.0,162.0,115.0,129.0
WTBA,21.0,21.0,21.0,19.0
WT,12.0,15.0,10.0,12.0
WST,320.0,400.0,245.0,224.0
WSR,15.0,16.0,14.0,12.0
WSO,484.0,540.0,450.0,472.0
WSM,176.0,215.0,134.0,165.0
WSFS,62.0,68.0,55.0,57.0
WSC,40.0,54.0,32.0,29.0
WSBC,38.0,45.0,34.0,32.0
WS,34.0,34.0,34.0,31.0
WRN,4.0,4.0,4.0,1.0
WRLD,10.0,10.0,10.0,168.0
WRBY,22.0,32.0,18.0,22.0
WRB,72.0,80.0,60.0,67.0
WPC,104.0,420.0,61.0,61.0
WOW,6.0,6.0,6.0,3.0
WOR,59.0,81.0,46.0,62.0
WOOF,3.0,4.0,2.0,2.0
WOLF,11.0,20.0,3.0,1.0
WNS,64.0,76.0,51.0,74.0
WNEB,8.0,8.0,8.0,9.0
WNC,9.0,9.0,9.0,9.0
WMT,106.0,120.0,81.0,95.0
WMS,139.0,160.0,133.0,110.0
WMG,33.0,44.0,28.0,30.0
WMB,61.0,70.0,55.0,58.0
WM,251.0,277.0,229.0,225.0
WLK,93.0,100.0,82.0,81.0
WLDN,51.0,56.0,47.0,78.0
WKC,29.0,32.0,26.0,28.0
WK,101.0,108.0,95.0,65.0
WIX,228.0,300.0,189.0,153.0
WING,353.0,440.0,255.0,326.0
WHR,108.0,145.0,76.0,96.0
WHF,10.0,12.0,9.0,8.0
WHD,52.0,57.0,48.0,42.0
WH,108.0,119.0,99.0,86.0
WGS,92.0,118.0,45.0,80.0
WGO,42.0,75.0,30.0,29.0
WFRD,96.0,142.0,62.0,52.0
WFC,80.0,91.0,59.0,79.0
WEX,176.0,255.0,135.0,151.0
WEST,10.0,13.0,9.0,6.0
WES,39.0,44.0,37.0,40.0
WERN,30.0,52.0,21.0,28.0
WEN,15.0,29.0,11.0,10.0
WELL,168.0,242.0,137.0,157.0
WEC,106.0,124.0,98.0,106.0
WEAV,16.0,18.0,14.0,7.0
WDFC,290.0,300.0,280.0,225.0
WDC,64.0,90.0,40.0,66.0
WDAY,296.0,345.0,235.0,226.0
WD,102.0,110.0,95.0,74.0
WCN,213.0,230.0,200.0,182.0
WCC,210.0,245.0,180.0,199.0
WBX,21.0,40.0,10.0,6.0
WBTN,14.0,23.0,9.0,9.0
WBD,12.0,18.0,8.0,12.0
WBA,10.0,15.0,7.0,11.0
WAY,42.0,52.0,27.0,37.0
WAT,381.0,465.0,325.0,289.0
WASH,31.0,34.0,28.0,28.0
WALD,5.0,7.0,4.0,2.0
WAL,97.0,116.0,85.0,82.0
WAFD,30.0,32.0,29.0,29.0
WABC,52.0,55.0,50.0,50.0
WAB,216.0,240.0,194.0,211.0
W,46.0,72.0,25.0,55.0
VZLA,3.0,4.0,3.0,3.0
VZ,47.0,56.0,40.0,41.0
VYX,14.0,17.0,11.0,13.0
VVX,62.0,80.0,51.0,46.0
VVV,42.0,49.0,38.0,35.0
VTYX,10.0,14.0,6.0,3.0
VTS,26.0,33.0,19.0,22.0
VTRS,10.0,13.0,9.0,9.0
VTOL,50.0,50.0,50.0,34.0
VTMX,29.0,37.0,21.0,25.0
VTLE,30.0,50.0,16.0,16.0
VTEX,8.0,10.0,7.0,6.0
VSTM,13.0,20.0,8.0,5.0
VST,176.0,231.0,120.0,184.0
VSH,20.0,22.0,19.0,17.0
VSCO,24.0,45.0,15.0,17.0
VSAT,19.0,52.0,10.0,15.0
VRTX,511.0,586.0,420.0,469.0
VRTS,182.0,211.0,158.0,208.0
VRT,135.0,165.0,75.0,125.0
VRSN,277.0,305.0,250.0,283.0
VRRM,27.0,29.0,23.0,24.0
VRNT,30.0,36.0,23.0,20.0
VRNS,55.0,67.0,45.0,50.0
VRNA,109.0,170.0,57.0,104.0
VREX,22.0,23.0,22.0,7.0
VRE,18.0,23.0,16.0,14.0
VRDN,37.0,61.0,27.0,16.0
VPG,28.0,28.0,28.0,27.0
VOYG,49.0,52.0,45.0,42.0
