Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZWS,36.0,40.0,29.0,34.0
ZVRA,22.0,25.0,18.0,7.0
ZVIA,2.0,3.0,1.0,2.0
ZUMZ,22.0,25.0,19.0,11.0
ZTS,216.0,244.0,165.0,149.0
ZTO,23.0,26.0,21.0,19.0
ZSPC,15.0,20.0,10.0,7.0
ZS,236.0,260.0,195.0,233.0
ZM,85.0,115.0,71.0,78.0
ZLAB,47.0,55.0,36.0,29.0
ZKH,4.0,4.0,4.0,2.0
ZK,32.0,35.0,26.0,22.0
ZION,58.0,71.0,47.0,45.0
ZIMV,19.0,23.0,16.0,8.0
ZIM,13.0,18.0,9.0,13.0
ZI,11.0,18.0,7.0,8.0
ZH,4.0,4.0,4.0,4.0
ZGN,8.0,10.0,7.0,7.0
ZG,80.0,100.0,47.0,66.0
ZEUS,41.0,41.0,41.0,31.0
ZETA,30.0,45.0,15.0,13.0
ZBRA,321.0,425.0,232.0,250.0
ZBIO,40.0,45.0,35.0,9.0
ZBH,115.0,150.0,95.0,92.0
Z,85.0,100.0,71.0,67.0
YUMC,48.0,60.0,37.0,43.0
YUM,156.0,185.0,135.0,148.0
YSG,3.0,3.0,3.0,4.0
YOU,32.0,45.0,26.0,26.0
YMM,14.0,18.0,10.0,12.0
YMAB,17.0,26.0,3.0,3.0
YEXT,9.0,10.0,7.0,6.0
YELP,36.0,48.0,30.0,34.0
XYZ,75.0,115.0,50.0,47.0
XYL,146.0,165.0,125.0,120.0
XRAY,20.0,28.0,14.0,13.0
XPRO,18.0,29.0,12.0,7.0
XPOF,15.0,20.0,9.0,8.0
XPO,133.0,167.0,113.0,107.0
XPEV,22.0,31.0,12.0,19.0
XPEL,58.0,58.0,58.0,33.0
XOM,125.0,144.0,105.0,104.0
XNCR,32.0,40.0,28.0,8.0
XMTR,33.0,48.0,20.0,30.0
XIFR,18.0,30.0,6.0,8.0
XHR,13.0,17.0,9.0,11.0
XGN,7.0,8.0,7.0,6.0
XERS,6.0,8.0,4.0,4.0
XENE,56.0,67.0,49.0,35.0
XEL,76.0,80.0,68.0,71.0
X,39.0,45.0,35.0,42.0
WYNN,118.0,138.0,99.0,83.0
WY,33.0,38.0,30.0,25.0
WWD,195.0,220.0,160.0,196.0
WVE,21.0,36.0,10.0,6.0
WTW,351.0,400.0,272.0,307.0
WTTR,16.0,18.0,14.0,8.0
WTS,222.0,240.0,199.0,212.0
WTFC,133.0,157.0,115.0,113.0
WTBA,23.0,23.0,23.0,19.0
WT,12.0,15.0,8.0,9.0
WST,332.0,400.0,250.0,205.0
WSR,16.0,16.0,16.0,12.0
WSO,480.0,540.0,425.0,475.0
WSM,175.0,220.0,131.0,154.0
WSFS,62.0,68.0,55.0,52.0
WSC,40.0,54.0,32.0,26.0
WSBC,38.0,45.0,34.0,30.0
WS,34.0,34.0,34.0,26.0
WRN,4.0,4.0,4.0,1.0
WRLD,10.0,10.0,10.0,131.0
WRBY,22.0,32.0,17.0,16.0
WPM,83.0,129.0,61.0,85.0
WPC,108.0,420.0,60.0,61.0
WOW,7.0,7.0,7.0,4.0
WOR,52.0,67.0,44.0,56.0
WOOF,4.0,5.0,2.0,3.0
WOLF,12.0,20.0,6.0,4.0
WNS,62.0,75.0,51.0,59.0
WNEB,8.0,8.0,8.0,9.0
WMT,103.0,120.0,81.0,98.0
WMS,153.0,190.0,130.0,112.0
WMG,35.0,44.0,23.0,30.0
WMB,57.0,70.0,43.0,58.0
WM,243.0,271.0,219.0,234.0
WLK,110.0,170.0,75.0,78.0
WLDN,51.0,56.0,47.0,40.0
WKC,29.0,32.0,26.0,25.0
WK,107.0,130.0,95.0,67.0
WIX,237.0,300.0,176.0,164.0
WING,320.0,440.0,255.0,266.0
WHR,101.0,138.0,74.0,76.0
WHF,10.0,12.0,9.0,9.0
WH,108.0,119.0,94.0,83.0
WGS,78.0,118.0,21.0,63.0
WGO,51.0,75.0,38.0,32.0
WFG,100.0,115.0,90.0,74.0
WFC,75.0,87.0,57.0,73.0
WEX,182.0,255.0,138.0,122.0
WEST,10.0,13.0,9.0,6.0
WES,38.0,41.0,35.0,35.0
WERN,29.0,52.0,21.0,25.0
WEN,16.0,29.0,13.0,11.0
WELL,161.0,242.0,115.0,150.0
WEAV,16.0,18.0,14.0,9.0
WDFC,301.0,322.0,280.0,233.0
WDC,64.0,100.0,40.0,44.0
WDAY,293.0,345.0,190.0,247.0
WD,102.0,110.0,95.0,71.0
WCC,215.0,245.0,195.0,158.0
WBTN,16.0,27.0,9.0,9.0
WBS,62.0,76.0,51.0,48.0
WBA,10.0,15.0,7.0,10.0
WAY,40.0,52.0,27.0,40.0
WAT,392.0,460.0,325.0,338.0
WASH,32.0,34.0,31.0,28.0
WALD,5.0,7.0,4.0,2.0
WAFD,30.0,32.0,29.0,28.0
WABC,52.0,55.0,50.0,48.0
WAB,211.0,226.0,194.0,189.0
W,48.0,90.0,25.0,30.0
VZLA,3.0,4.0,3.0,2.0
VZ,47.0,56.0,40.0,44.0
VYX,15.0,17.0,11.0,8.0
VYGR,13.0,30.0,5.0,3.0
VVX,62.0,80.0,51.0,47.0
VUZI,2.0,2.0,2.0,1.0
VTS,30.0,33.0,28.0,19.0
VTRS,10.0,13.0,9.0,8.0
VTR,72.0,78.0,65.0,65.0
VTOL,50.0,50.0,50.0,29.0
VTLE,32.0,50.0,23.0,13.0
VTEX,8.0,11.0,6.0,5.0
VSTS,13.0,16.0,10.0,8.0
VSTM,13.0,20.0,8.0,6.0
VSTA,3.0,3.0,3.0,4.0
VST,166.0,231.0,120.0,145.0
VSH,20.0,22.0,19.0,13.0
VSEC,118.0,135.0,100.0,118.0
VSCO,28.0,45.0,12.0,18.0
VSAT,14.0,19.0,10.0,9.0
VRTX,515.0,586.0,423.0,450.0
VRT,120.0,155.0,75.0,93.0
VRSN,267.0,285.0,250.0,283.0
VRSK,297.0,321.0,279.0,296.0
VRRM,26.0,29.0,23.0,22.0
VRNT,30.0,36.0,23.0,17.0
VRNS,56.0,70.0,45.0,44.0
VRNA,81.0,107.0,57.0,70.0
VRN,12.0,15.0,10.0,5.0
VREX,22.0,23.0,22.0,8.0
VRE,18.0,23.0,16.0,15.0
VRDN,35.0,61.0,20.0,12.0
